"Frame","Time","HeadX","HeadY","HeadZ","WithersX","WithersY","WithersZ","SacrumX","SacrumY","SacrumZ","HFLX","HFLY","HFLZ","HFRX","HFRY","HFRZ","HHLX","HHLY","HHLZ","HHRX","HHRY","HHRZ"
1,0.000,1017.46600,-154.74785,1270.05151,-177.49522,-70.91322,1279.74573,-918.86652,55.37336,1303.50220,623.20300,-9.57600,57.48478,-16.76510,-222.24571,-1.08785,-678.53278,238.80013,-6.50579,-1426.70300,-87.06406,35.32571
2,0.008,1014.41858,-151.99718,1276.60559,-176.90202,-70.55544,1279.73059,-918.03632,55.84140,1306.97949,643.84174,-7.56298,54.21981,-30.44011,-221.34489,-1.03243,-692.21027,239.77841,-6.26889,-1414.14563,-81.36596,34.81541
3,0.017,1011.33728,-149.22452,1283.10327,-176.26495,-70.16278,1279.77283,-917.21979,56.40815,1310.42297,662.81079,-5.53142,50.13817,-44.15604,-220.42941,-1.01456,-706.01837,240.67270,-6.09918,-1400.97876,-76.51630,34.96768
4,0.025,1008.19208,-146.41145,1289.48108,-175.57930,-69.68493,1279.91016,-916.43457,57.12641,1313.79443,679.35004,-3.35402,45.07735,-57.90751,-219.49615,-1.04357,-719.96429,241.46742,-6.00896,-1386.83557,-72.82928,35.88122
5,0.033,1004.96313,-143.55725,1295.67212,-174.88718,-69.05235,1280.16394,-915.70856,57.98608,1317.05664,693.61682,-0.85501,39.52586,-71.67751,-218.53807,-1.08397,-733.89178,242.23557,-5.98541,-1371.39294,-70.24548,37.05961
6,0.042,1001.64600,-140.67494,1301.61646,-174.23433,-68.18926,1280.54688,-915.07813,58.92607,1320.17920,705.98077,2.08401,34.13048,-85.48133,-217.54971,-1.07912,-747.67084,243.08542,-5.99843,-1354.06738,-68.76631,37.87232
7,0.050,998.24634,-137.76656,1307.26343,-173.62596,-67.04261,1281.05920,-914.56982,59.87445,1323.13904,716.41168,5.52837,29.20895,-99.35213,-216.54265,-1.00350,-761.37219,244.05556,-5.99663,-1334.19763,-68.40459,38.00426
8,0.058,994.77094,-134.81793,1312.57336,-173.03159,-65.60320,1281.68286,-914.17981,60.78698,1325.91760,724.40271,9.53257,24.58430,-113.29835,-215.53403,-0.88700,-775.14001,245.11288,-5.94580,-1311.50293,-68.96935,37.56901
9,0.067,991.22656,-131.81885,1317.51831,-172.41107,-63.89477,1282.38330,-913.87714,61.64458,1328.49988,729.26440,14.11154,19.82077,-127.29463,-214.53494,-0.77888,-789.03564,246.22803,-5.82795,-1286.16260,-70.24352,36.94995
10,0.075,987.62720,-128.77599,1322.07642,-171.72644,-61.94473,1283.11719,-913.62262,62.43223,1330.87488,730.46759,19.17741,14.68908,-141.31248,-213.55725,-0.69767,-803.05908,247.38675,-5.63589,-1258.52869,-72.10313,36.49915
11,0.083,984.00323,-125.71103,1326.22705,-170.94698,-59.77254,1283.84399,-913.37848,63.13768,1333.03711,727.89648,24.47154,9.52518,-155.33783,-212.60995,-0.62865,-817.16626,248.53690,-5.42429,-1228.92249,-74.33517,36.32810
12,0.092,980.40930,-122.65485,1329.95239,-170.05769,-57.40679,1284.52930,-913.10767,63.76101,1334.98450,721.96045,29.49290,5.09507,-169.36633,-211.67307,-0.55247,-831.29590,249.55273,-5.28431,-1197.66418,-76.66335,36.41231
13,0.100,976.92340,-119.63649,1333.23889,-169.06082,-54.89562,1285.14893,-912.77539,64.31491,1336.71741,713.45990,33.55958,2.00077,-183.40251,-210.70337,-0.45955,-845.45508,250.37564,-5.23249,-1165.15417,-78.95589,36.76725
14,0.108,973.63605,-116.67256,1336.07275,-167.96695,-52.29085,1285.70007,-912.35260,64.82064,1338.23633,703.14764,36.18733,0.28530,-197.46057,-209.67519,-0.35488,-859.67816,251.16553,-5.19778,-1131.80005,-81.20078,37.41690
15,0.117,970.63171,-113.77230,1338.44043,-166.78947,-49.63779,1286.20190,-911.81805,65.31225,1339.53601,691.38324,37.53706,-0.43169,-211.54860,-208.59802,-0.26148,-873.91943,252.11105,-5.12464,-1097.85632,-83.40277,38.32753
16,0.125,967.97040,-110.94499,1340.33875,-165.54688,-46.98508,1286.67578,-911.16644,65.83218,1340.60510,678.37219,38.30168,-0.63501,-225.63599,-207.52527,-0.19022,-888.07813,253.16304,-5.03893,-1063.40125,-85.61547,39.47700
17,0.133,965.68219,-108.19185,1341.77332,-164.26535,-44.38711,1287.12988,-910.42297,66.40375,1341.43005,664.54626,39.10152,-0.69709,-239.63408,-206.54173,-0.09698,-902.11523,254.14282,-4.99579,-1028.45288,-87.92719,40.93398
18,0.142,963.77429,-105.50278,1342.74768,-162.98222,-41.89240,1287.56677,-909.65076,67.01172,1342.00012,650.45795,40.13700,-0.81525,-253.39371,-205.69890,0.11628,-916.09473,255.01593,-4.98512,-993.09338,-90.41888,42.81172
19,0.150,962.23798,-102.86465,1343.26233,-161.75299,-39.53936,1287.99390,-908.94244,67.61654,1342.30457,636.47400,41.31498,-1.04602,-266.72006,-204.98080,0.57458,-930.06439,255.88585,-4.93085,-957.59839,-93.16483,45.11195
20,0.158,961.05151,-100.26027,1343.32300,-160.65073,-37.36083,1288.42285,-908.39801,68.18132,1342.32642,622.70490,42.51298,-1.34628,-279.44833,-204.33722,1.39375,-943.99255,256.81677,-4.78792,-922.48730,-96.10095,47.56908
21,0.167,960.18915,-97.66680,1342.94226,-159.74979,-35.38581,1288.86218,-908.10321,68.68257,1342.04175,609.10431,43.70558,-1.63972,-291.52472,-203.72139,2.65547,-957.87695,257.84244,-4.59922,-888.29688,-98.94682,49.70531
22,0.175,959.63464,-95.06567,1342.13232,-159.11342,-33.64313,1289.31311,-908.12091,69.10424,1341.42773,595.56445,44.91357,-1.87828,-302.96713,-203.08347,4.43886,-971.75793,259.02045,-4.44696,-855.23865,-101.49169,51.14531
23,0.183,959.38647,-92.45181,1340.90454,-158.79448,-32.15991,1289.76855,-908.49634,69.43471,1340.46948,581.98480,46.13374,-2.03216,-313.73361,-202.31075,6.84407,-985.64148,260.30902,-4.38175,-823.14703,-103.84850,51.81377
24,0.192,959.44800,-89.83462,1339.27148,-158.83359,-30.94529,1290.21594,-909.25891,69.67748,1339.16394,568.32806,47.35352,-2.09028,-323.58612,-201.26828,9.98279,-999.51465,261.54202,-4.40692,-791.73596,-106.28320,51.81100
25,0.200,959.81372,-87.23194,1337.24780,-159.25237,-29.98028,1290.63953,-910.41479,69.85838,1337.51868,554.63470,48.57739,-2.10059,-331.99115,-200.01881,14.00183,-1013.35193,262.60831,-4.51081,-760.82147,-108.98122,51.26936
26,0.208,960.46729,-84.65920,1334.84998,-160.04912,-29.22863,1291.02087,-911.94421,70.01012,1335.54749,540.96088,49.81364,-2.13090,-338.14813,-198.83754,19.01963,-1027.11035,263.52136,-4.69481,-730.35858,-112.05356,50.33203
27,0.217,961.39014,-82.11981,1332.09436,-161.19916,-28.65885,1291.34033,-913.80933,70.15190,1333.26575,527.30518,51.05809,-2.19365,-341.16953,-197.89650,24.93180,-1040.77344,264.35364,-4.93509,-700.39264,-115.60694,49.12000
