"Frame#","Time","HeadX","HeadY","HeadZ","WithersX","WithersY","WithersZ","SacrumX","SacrumY","SacrumZ","HFLX","HFLY","HFLZ","HFRX","HFRY","HFRZ","HHLX","HHLY","HHLZ","HHRX","HHRY","HHRZ"
1,0.000,955.40527,-88.41407,1372.53247,-252.31592,-14.06326,1309.87585,-998.02454,-15.37883,1297.23267,642.44781,104.94612,32.40445,-295.53830,-146.23364,0.53391,-1351.37024,146.06349,21.82509,-523.90814,-117.04921,48.22380
2,0.017,955.68463,-87.95202,1371.01929,-250.76431,-11.07922,1310.03784,-996.24963,-14.99010,1297.96765,627.53113,107.83334,15.60605,-328.43118,-150.63603,10.47062,-1371.62561,146.35419,35.52584,-516.47260,-124.22624,32.79423
3,0.033,955.75098,-87.52870,1368.84375,-249.12386,-8.32810,1308.37830,-994.34149,-15.39917,1296.93359,594.85364,108.33129,6.67167,-346.85629,-158.99747,34.25786,-1380.93762,143.47745,45.67273,-518.93976,-132.96648,18.34208
4,0.050,955.99811,-87.04536,1365.60681,-247.50731,-6.07595,1304.24023,-992.67841,-16.58820,1293.53467,546.62415,107.25581,4.93577,-338.21484,-170.57848,63.42459,-1375.39612,142.85666,49.25126,-533.97119,-140.55963,8.14223
5,0.067,957.17804,-86.25979,1361.00854,-246.26616,-4.54370,1297.97546,-991.90900,-17.85448,1288.15100,495.70282,106.39427,5.02882,-305.95148,-181.21104,81.73714,-1357.26440,148.10608,45.22556,-564.74023,-144.22577,4.35456
6,0.083,959.69220,-85.12095,1354.81299,-245.76663,-3.79809,1290.24780,-992.49121,-18.53688,1281.48303,446.99295,105.64087,4.23744,-261.42657,-188.77435,88.63073,-1326.65857,157.44550,36.45878,-610.71722,-144.86255,4.29110
7,0.100,963.29736,-83.90846,1347.23230,-246.24678,-3.63140,1281.70544,-994.44293,-18.54649,1274.20203,398.65982,104.69337,3.10282,-210.74472,-193.68916,92.57388,-1283.72852,167.22516,27.24806,-661.09204,-144.87029,4.05345
8,0.117,967.19366,-82.93238,1339.06982,-248.10707,-3.97330,1273.01880,-997.18091,-18.16540,1266.73218,350.42282,104.29304,2.48532,-156.50314,-196.42685,97.02522,-1234.92664,172.64340,20.72180,-709.19312,-145.12540,2.95743
9,0.133,970.29529,-82.32104,1331.51184,-252.05138,-5.53107,1265.12354,-999.88110,-17.34376,1259.33484,302.92642,104.32314,2.03732,-98.67365,-197.27902,101.38168,-1185.01233,172.85460,19.14577,-756.98419,-145.38449,2.07534
10,0.150,971.80878,-82.03316,1325.90918,-258.23068,-8.85601,1259.14783,-1002.30402,-15.54095,1252.50720,255.85422,104.02443,1.49386,-36.40576,-196.17404,103.68388,-1131.71082,171.01601,22.05921,-805.04321,-145.87453,1.67221
11,0.167,971.69958,-81.91174,1323.26074,-265.17358,-12.74757,1255.81116,-1004.88000,-12.38273,1247.16101,208.45642,103.54277,1.38743,29.52997,-193.03638,102.08182,-1074.00586,166.75874,26.13766,-852.80890,-146.66734,1.40308
12,0.183,970.42975,-81.74898,1323.63049,-270.45044,-15.19388,1255.10864,-1007.77863,-8.15099,1244.36987,160.28983,103.14149,1.56181,98.35446,-188.40114,96.88421,-1014.98499,157.62907,29.52271,-900.77759,-147.42313,1.30379
13,0.200,968.33636,-81.46931,1326.34143,-272.86139,-15.62046,1256.74561,-1010.24487,-3.51864,1244.89038,111.57599,102.66183,1.54375,169.75241,-182.56549,89.51258,-956.21320,145.28232,33.27238,-949.19336,-147.93477,1.44603
14,0.217,965.56964,-81.23592,1330.68408,-273.33417,-14.76944,1260.63171,-1011.27972,0.96759,1248.75256,62.40387,102.11695,1.59716,243.34048,-175.51764,81.08278,-897.11298,132.38770,38.05067,-998.42566,-147.94026,1.60277
15,0.233,962.48499,-81.09895,1336.21191,-273.35898,-13.19874,1266.79919,-1010.86993,5.03699,1255.34180,12.51428,101.40444,1.96128,318.07834,-167.00519,71.91260,-838.27338,119.45139,42.60681,-1048.39307,-148.19183,2.06210
16,0.250,959.70923,-80.83231,1342.49377,-273.23380,-11.14309,1275.05823,-1009.89490,8.46751,1263.82556,-38.02136,100.41443,2.40354,392.91690,-156.25635,61.22984,-781.19159,107.93275,46.22998,-1098.36279,-149.68805,3.13855
17,0.267,957.80273,-80.36544,1348.86401,-272.16818,-9.05740,1284.82825,-1008.91034,10.90903,1273.34204,-88.77502,99.38895,2.82061,469.60971,-145.25626,51.82684,-726.46863,99.71496,49.57995,-1148.51538,-151.29401,3.82479
18,0.283,956.93488,-79.84805,1354.53162,-269.53494,-7.39450,1295.14404,-1007.83698,12.08952,1282.90430,-139.54388,98.43504,3.19596,545.06604,-138.86957,49.38552,-674.57397,95.30151,52.80493,-1198.20703,-152.31882,4.84365
19,0.300,956.84698,-79.28978,1358.92883,-265.72437,-6.23234,1304.85522,-1006.69580,12.18058,1291.39490,-190.21918,97.92847,3.54264,602.30713,-137.11693,49.54234,-627.26727,95.54788,54.52211,-1243.35156,-154.66223,9.94676
20,0.317,957.08966,-78.58585,1361.96045,-261.99551,-5.58493,1312.97351,-1005.80493,11.76044,1297.95520,-238.53607,98.54608,5.78799,628.82190,-135.76083,42.30640,-587.49432,101.38409,51.87096,-1279.83179,-159.61713,19.26782
21,0.333,957.26331,-77.74868,1363.86926,-259.49026,-5.75271,1318.81348,-1005.24121,11.43455,1302.43359,-279.73785,100.72335,12.12793,634.02136,-134.19095,28.45554,-557.70776,112.24406,42.64768,-1308.62415,-166.10756,29.90232
22,0.350,957.10083,-76.89441,1364.82837,-258.31854,-6.94759,1321.87219,-1004.68262,11.71433,1305.10693,-310.29578,104.90720,22.30870,629.85352,-133.47455,13.85630,-538.13434,126.33640,28.77856,-1332.78149,-171.35379,41.78004
23,0.367,956.55402,-76.09132,1364.72742,-257.72430,-8.76880,1321.86499,-1003.86359,13.02431,1305.92883,-327.30066,110.68398,38.36042,613.36694,-132.56010,1.75789,-529.14648,142.41348,14.92441,-1348.47754,-172.56409,53.06266
24,0.383,955.90326,-75.32148,1363.31409,-256.99756,-10.40287,1318.88086,-1002.84998,15.38085,1304.49402,-325.72961,116.56206,61.09731,579.34338,-131.02242,-4.86751,-533.91541,159.71205,3.61727,-1349.07275,-170.78653,58.97793
25,0.400,955.68604,-74.61580,1360.39868,-256.02252,-11.21718,1313.28198,-1001.89471,18.20508,1300.71667,-304.12640,121.70635,82.36437,532.66748,-130.21710,-6.47008,-555.03564,174.27026,-4.26094,-1336.92749,-170.68210,59.22293
26,0.417,956.41913,-74.02565,1355.90222,-255.18015,-10.99733,1305.54858,-1001.33380,20.63509,1295.09521,-268.07446,126.25300,96.05370,482.80667,-130.70224,-6.60191,-591.65210,180.98129,-7.85030,-1317.02258,-174.38846,57.15471
27,0.433,958.29144,-73.40327,1349.87537,-254.94936,-10.01076,1296.32544,-1001.47723,22.00707,1288.26917,-224.00598,129.87267,104.96947,434.20712,-131.37204,-7.03843,-638.54993,181.02539,-8.56836,-1286.93201,-179.53009,53.41028
28,0.450,960.98706,-72.53599,1342.71265,-255.62799,-8.91405,1286.38733,-1002.35022,22.37344,1280.61694,-175.45886,131.56012,111.68714,386.10733,-131.64658,-7.77849,-687.66919,179.80576,-8.94316,-1243.81396,-183.14304,46.74459
29,0.467,963.70624,-71.40157,1335.40137,-257.64484,-7.69419,1276.47229,-1003.73584,22.51471,1272.43201,-123.49707,130.86320,116.45271,338.10263,-132.08130,-8.42591,-735.37677,179.34320,-9.58110,-1192.11621,-184.01172,39.74489
30,0.483,965.54370,-70.08482,1329.39185,-261.76089,-4.99243,1267.30945,-1005.53992,22.91437,1264.18835,-67.73547,128.23396,119.79516,290.79379,-132.77103,-8.86575,-782.87390,178.83339,-9.95891,-1138.28918,-182.38638,37.66512
31,0.500,966.05670,-68.72357,1325.89880,-267.72723,-0.27884,1259.68262,-1007.90753,22.93365,1256.49194,-8.13373,124.44228,121.60120,243.65115,-133.30914,-9.16018,-830.47119,178.14664,-10.19797,-1083.58691,-178.15955,41.03177
32,0.517,965.35730,-67.48972,1325.19946,-273.26462,4.24218,1254.25781,-1010.88483,21.61903,1250.14990,54.68219,119.76724,121.43721,196.07620,-133.80458,-9.09306,-877.96967,177.45802,-10.62235,-1026.91724,-170.19101,45.62101
33,0.533,963.70593,-66.37650,1326.85742,-276.33939,6.02270,1251.46228,-1014.01532,19.00388,1246.20520,119.77771,113.96910,119.40328,148.30539,-134.55194,-8.88374,-925.83020,176.90274,-10.65425,-969.53418,-158.82805,49.51030
34,0.550,961.26624,-65.19093,1330.45911,-277.64017,5.01692,1251.54871,-1016.45923,15.85904,1245.45300,186.47049,106.69429,115.41302,100.15512,-135.37962,-8.92573,-974.21912,176.45317,-10.14099,-912.96021,-145.84081,53.75798
35,0.567,958.20905,-63.80373,1335.70874,-279.00443,2.97214,1254.59705,-1017.62524,12.57646,1247.93665,254.62454,97.80389,109.69149,51.21848,-136.10231,-8.98962,-1023.29773,175.31235,-9.95716,-857.01544,-132.28014,58.28764
36,0.583,954.84521,-62.18314,1342.11365,-280.64517,1.32215,1260.42175,-1017.61682,9.19998,1253.04883,322.57837,88.14211,103.45623,1.72446,-136.80045,-8.66837,-1073.01257,173.58951,-9.94531,-801.35034,-118.96701,62.47802
37,0.600,951.61920,-60.31787,1348.98010,-281.22244,0.27843,1268.51746,-1017.04565,6.16337,1259.99023,387.53473,78.19550,95.14834,-48.17255,-137.20055,-8.18764,-1122.70605,172.95352,-9.09042,-745.91266,-107.14527,66.94423
38,0.617,949.04675,-58.33221,1355.60364,-279.63086,-0.63722,1278.06323,-1016.38452,4.08368,1268.01892,452.60715,69.81345,83.41760,-98.41856,-137.29572,-7.90564,-1172.71680,173.37729,-8.04741,-690.54584,-98.77316,72.70217
39,0.633,947.55737,-56.49211,1361.35864,-276.07645,-1.74026,1288.00647,-1015.55743,3.09604,1276.37061,522.73438,69.53517,75.31386,-148.93771,-138.22545,-7.26627,-1223.42542,173.40907,-7.45308,-637.20007,-95.68024,79.14578
40,0.650,947.23199,-54.97545,1365.75952,-271.84619,-2.90238,1297.22644,-1014.30292,2.97363,1284.18860,585.54565,79.14906,73.03254,-199.84265,-140.12874,-6.03824,-1271.50708,173.75278,-4.00480,-591.60266,-97.32681,81.88403
41,0.667,947.67841,-53.74738,1368.58435,-268.24219,-3.57548,1304.69653,-1012.69708,3.40798,1290.71643,618.68329,90.70914,64.25960,-249.12286,-141.59927,-4.54868,-1312.47949,175.74986,4.75143,-558.95294,-102.07204,75.62135
42,0.683,948.23065,-52.62861,1369.89453,-265.74771,-3.18657,1309.62805,-1011.06213,3.83409,1295.46606,620.71655,100.06713,43.64323,-293.11502,-142.88727,-1.83591,-1345.72839,178.71603,15.92967,-539.09131,-109.19302,60.81813
43,0.700,948.37659,-51.41517,1369.87585,-264.09860,-1.80463,1311.62598,-1009.56586,3.56587,1298.07629,606.64423,108.78329,21.47415,-329.10211,-146.43111,6.82836,-1372.04688,180.01947,27.88011,-528.95898,-118.26746,43.40023
44,0.717,948.07611,-50.05561,1368.68115,-262.83276,-0.09505,1310.77039,-1008.17041,2.28715,1298.23633,580.28870,114.25262,8.14865,-350.09402,-154.51854,28.26512,-1388.84412,177.44127,40.43533,-528.13788,-128.43324,27.43977
45,0.733,947.77820,-48.72371,1366.36096,-261.71359,1.29257,1307.48816,-1006.95007,0.17519,1295.93250,538.71185,114.53017,4.70563,-346.36575,-166.67534,58.04132,-1392.11304,173.13091,49.10471,-540.26575,-137.29874,14.04442
46,0.750,948.18829,-47.54296,1362.77197,-260.85425,1.98347,1302.25940,-1006.21777,-2.24505,1291.52002,488.60577,113.26778,5.07113,-318.64148,-179.48747,80.49950,-1381.21973,171.86646,49.78539,-569.00867,-142.19682,5.98512
47,0.767,949.78906,-46.44313,1357.62830,-260.55280,1.86467,1295.48804,-1006.33453,-4.26890,1285.47681,438.53952,112.60966,4.66723,-276.39084,-190.05659,90.40173,-1357.25012,175.56358,44.05307,-611.91345,-143.39255,4.30586
48,0.783,952.39679,-45.43880,1350.99255,-261.04910,1.12347,1287.59924,-1007.51697,-5.45240,1278.26599,389.67465,111.70969,3.56090,-226.89938,-197.31380,94.95686,-1320.08704,181.61578,35.86479,-660.77368,-143.26678,4.68966
49,0.800,955.24329,-44.65343,1343.68958,-262.60275,-0.06627,1279.10608,-1009.63757,-5.88842,1270.32874,341.07648,110.96367,2.71442,-173.98901,-201.30890,99.08315,-1271.17664,185.63924,27.62242,-709.62042,-143.32825,3.86490
50,0.817,957.48303,-44.05641,1337.00232,-265.79431,-2.24141,1270.75183,-1012.22900,-5.68460,1262.12048,293.33624,110.97703,2.32277,-118.48434,-203.08723,103.39980,-1214.95532,185.96255,21.14809,-757.78210,-143.75945,2.72435
51,0.833,958.62958,-43.51414,1332.10767,-271.14133,-6.15546,1263.64795,-1014.85687,-4.57033,1254.24060,246.37683,110.87029,2.05677,-59.07875,-203.40846,106.74427,-1155.03540,183.43634,19.04253,-805.78076,-144.42117,2.15997
52,0.850,958.62225,-42.96307,1329.74890,-277.87720,-11.07872,1258.81702,-1017.34918,-2.36131,1247.49280,199.11401,110.08326,1.73407,4.37637,-201.95175,106.60696,-1092.79028,177.47116,21.39330,-853.52637,-145.02600,1.69614
53,0.867,957.58276,-42.35431,1330.05627,-283.73126,-15.08811,1256.53979,-1019.65039,0.70794,1242.83240,151.30841,109.22576,1.53862,70.95172,-198.25769,101.96966,-1030.55957,166.69981,25.44947,-901.11420,-145.48746,1.34676
54,0.883,955.62531,-41.58858,1332.66675,-286.84189,-17.29693,1256.53613,-1021.57324,4.10627,1241.23596,103.35956,108.89658,1.62078,140.16653,-192.69061,94.16862,-970.62048,152.28627,30.10320,-948.87183,-146.07895,1.55641
55,0.900,952.91364,-40.56596,1337.07849,-287.52148,-18.21510,1258.64209,-1022.78528,7.18371,1243.26038,54.93597,108.85950,1.94785,211.94168,-186.19337,84.82783,-911.84753,136.63741,35.47024,-997.29688,-146.46573,1.87555
56,0.917,949.78546,-39.28144,1342.76367,-287.38770,-18.39833,1262.98376,-1023.13214,9.57964,1248.57349,5.72296,108.47929,2.29085,285.73660,-178.94238,74.97246,-852.78339,121.06308,40.64615,-1046.45483,-146.55730,2.02103
57,0.933,946.74915,-37.89745,1349.08801,-287.25824,-18.04597,1269.67285,-1022.76318,11.36035,1256.20642,-43.90497,108.04414,2.62338,359.82840,-169.64508,63.94656,-794.16266,106.81128,45.25786,-1095.63281,-147.35461,2.78190
58,0.950,944.36383,-36.62854,1355.34778,-286.56677,-17.40030,1278.46167,-1021.79395,12.55695,1265.23572,-93.71149,107.99454,3.17547,434.05765,-158.92729,52.00158,-736.33661,95.56671,50.04639,-1145.09253,-148.66071,3.77041
59,0.967,943.08704,-35.64704,1360.89099,-284.35529,-16.87152,1288.50586,-1020.15973,12.95354,1274.89893,-143.82410,107.54125,3.75101,508.89780,-152.13191,44.82444,-679.99786,88.53406,55.44492,-1195.55737,-149.41470,4.07545
60,0.983,943.08630,-35.12149,1365.23059,-280.38895,-16.80342,1298.49329,-1018.03302,12.43825,1284.18274,-194.18329,106.62650,4.00839,574.57813,-152.34967,43.93098,-628.55566,86.20068,60.02093,-1244.12402,-150.76480,6.56780
61,1.000,944.07648,-34.98171,1368.11060,-275.60010,-17.33844,1307.15332,-1016.02936,11.29473,1291.92773,-243.32013,106.56190,5.19996,614.38757,-155.65620,40.11932,-585.77856,88.24734,60.08687,-1285.68530,-154.11017,14.13557
62,1.017,945.39191,-34.81485,1369.51233,-271.46271,-18.62408,1313.65588,-1014.52985,9.99934,1297.61475,-287.79608,107.61495,9.77283,626.23621,-158.26358,27.76408,-553.27875,94.28642,53.04748,-1318.63232,-158.88483,24.33341
63,1.033,946.37299,-34.41084,1369.59119,-268.68655,-20.82844,1317.56909,-1013.17261,9.00606,1301.50208,-323.88593,109.09709,18.51775,622.16882,-160.34543,11.59008,-531.03821,104.03029,40.67268,-1345.21838,-163.80585,35.61127
64,1.050,946.77917,-34.01819,1368.49146,-266.76337,-23.78873,1318.62927,-1011.46503,8.78169,1303.76147,-348.01349,110.91144,32.25193,606.41919,-162.31203,-0.66721,-518.45923,115.67020,26.97043,-1365.91138,-166.25116,48.43123
65,1.067,946.87781,-33.85400,1366.24744,-264.90698,-26.86763,1316.78381,-1009.43011,9.52825,1304.03113,-355.14410,112.51015,51.81027,574.15918,-163.23016,-5.31837,-517.31549,127.69638,13.64101,-1375.62305,-164.69234,58.55381
66,1.083,947.26190,-33.88258,1362.86816,-262.96643,-29.25957,1312.32178,-1007.44397,10.83641,1301.90552,-341.85797,112.79752,71.67253,528.09045,-163.23334,-5.75844,-532.80957,139.58018,1.02969,-1371.56873,-162.31487,61.85327
67,1.100,948.56976,-34.05223,1358.28101,-261.31729,-30.44459,1305.72290,-1005.92310,11.94120,1297.40125,-311.10364,112.48983,85.15382,478.38181,-163.77766,-6.12093,-565.65741,147.75160,-7.20675,-1358.34106,-163.07222,60.49832
