"Frame#","Time","HeadX","HeadY","HeadZ","WithersX","WithersY","WithersZ","SacrumX","SacrumY","SacrumZ","HFLX","HFLY","HFLZ","HFRX","HFRY","HFRZ","HHLX","HHLY","HHLZ","HHRX","HHRY","HHRZ"
1,0.000,779.94574,-22.59762,1300.70715,-363.22742,-15.73928,1289.48865,-1146.73071,-39.83803,1309.74060,-270.66309,158.80545,-2.27898,390.76114,-106.24998,43.18755,-819.65546,96.58978,40.50058,-1303.42871,-186.44446,2.70537
2,0.008,778.59546,-24.46028,1302.77661,-361.97061,-15.33444,1294.23889,-1146.31628,-39.09125,1314.76196,-295.71017,158.27710,-2.00064,424.72510,-102.54412,48.17285,-797.94385,97.37913,40.48735,-1328.00378,-187.44301,2.71290
3,0.017,777.38605,-26.29389,1304.78137,-360.70117,-14.93207,1298.94812,-1145.88782,-38.52390,1319.52917,-320.71643,157.69522,-1.80901,454.23657,-99.29147,51.97435,-776.95203,98.43744,39.87033,-1351.50891,-188.39526,3.11676
4,0.025,776.42346,-28.05972,1306.67188,-359.42062,-14.54208,1303.54907,-1145.43628,-38.25584,1323.83276,-345.57971,157.05470,-1.64110,476.43921,-96.62961,53.40409,-757.45496,100.32115,38.42108,-1373.29663,-189.77588,4.48473
5,0.033,775.75940,-29.72474,1308.41724,-358.14481,-14.17150,1307.93640,-1144.96338,-38.32256,1327.52563,-370.23895,156.42789,-1.30873,490.50259,-94.42899,51.93032,-740.22559,103.53580,36.14017,-1393.37537,-192.46135,7.31500
6,0.042,775.39215,-31.28281,1310.00452,-356.90176,-13.81058,1311.97229,-1144.48608,-38.67211,1330.52344,-394.58066,155.95915,-0.52498,497.12039,-92.49455,48.01767,-725.90668,108.19415,33.04414,-1412.08008,-196.70956,11.47980
7,0.050,775.27881,-32.75119,1311.44043,-355.72623,-13.44675,1315.51282,-1144.03479,-39.19057,1332.80945,-418.16705,155.74744,1.11553,497.83478,-90.57935,42.51156,-714.86914,114.15642,29.25216,-1429.46362,-201.37402,15.97742
8,0.058,775.35352,-34.15557,1312.74817,-354.64771,-13.09624,1318.43945,-1143.63770,-39.76647,1334.42810,-440.27423,155.78569,4.02496,494.35596,-88.33271,35.97911,-707.13147,121.27075,25.10806,-1445.34167,-204.85741,19.59624
9,0.067,775.54529,-35.52244,1313.94653,-353.68588,-12.80663,1320.66565,-1143.30518,-40.32463,1335.44409,-460.12762,156.13504,8.44920,487.88547,-85.47716,28.78643,-702.41046,129.43443,21.14418,-1459.77905,-206.65666,21.95237
10,0.075,775.79059,-36.87570,1315.03577,-352.85608,-12.61885,1322.12219,-1143.03601,-40.79625,1335.90796,-476.94287,157.01312,14.38500,478.75943,-82.09351,21.55114,-700.33582,138.42778,17.89518,-1472.99097,-207.23672,23.66383
11,0.083,776.04236,-38.24361,1316.01111,-352.17590,-12.53220,1322.75366,-1142.82898,-41.11357,1335.86072,-489.95770,158.60332,21.54836,466.58472,-78.66415,15.24910,-700.76245,147.68570,15.57834,-1484.80103,-206.98567,25.59834
12,0.092,776.27740,-39.66719,1316.87769,-351.66675,-12.51011,1322.53320,-1142.68286,-41.25637,1335.34558,-498.63293,160.92561,29.44505,450.68890,-75.84643,10.75564,-703.92554,156.45135,13.83438,-1494.30896,-206.05243,28.10342
13,0.100,776.49738,-41.19317,1317.64685,-351.34415,-12.51293,1321.47815,-1142.59949,-41.26345,1334.40015,-502.79480,163.91464,37.58410,430.78256,-74.14349,8.26184,-710.31781,164.15176,11.83660,-1500.08557,-204.73543,30.77232
14,0.108,776.72314,-42.86447,1318.32532,-351.20691,-12.51524,1319.66394,-1142.59363,-41.19600,1333.04456,-502.57986,167.49236,45.64227,407.58130,-73.63841,7.22061,-720.38770,170.46518,8.86850,-1500.98596,-203.56404,32.77448
15,0.117,776.98145,-44.71283,1318.91760,-351.24127,-12.49249,1317.22083,-1142.69202,-41.11898,1331.27588,-498.28497,171.56053,53.45924,382.64798,-74.01708,6.88723,-734.15656,175.19450,5.03957,-1496.85376,-203.09186,33.43039
16,0.125,777.28790,-46.74923,1319.44543,-351.43414,-12.40508,1314.30176,-1142.92322,-41.09962,1329.06348,-490.24603,175.99098,60.95287,357.45270,-74.83378,6.79095,-751.14923,178.27170,1.36151,-1488.29578,-203.62866,32.56640
17,0.133,777.63562,-48.96394,1319.96741,-351.78067,-12.20291,1311.03882,-1143.31909,-41.19636,1326.35962,-478.78537,180.63716,68.05383,332.71674,-75.74272,6.72557,-770.83990,179.81918,-1.14378,-1475.92346,-205.12808,30.47346
18,0.142,778.00146,-51.33510,1320.57861,-352.28436,-11.84083,1307.51697,-1143.92224,-41.46775,1323.13818,-464.20505,185.34819,74.68194,308.47235,-76.58030,6.58220,-792.81549,180.13663,-2.28272,-1459.95837,-207.31183,27.65598
19,0.150,778.36182,-53.83274,1321.38464,-352.95587,-11.29219,1303.78149,-1144.77283,-41.98687,1319.42810,-446.79626,189.97623,80.74683,284.44312,-77.30643,6.33590,-816.39856,179.64374,-2.54189,-1440.41797,-209.77228,24.55990
20,0.158,778.69965,-56.41853,1322.47632,-353.81427,-10.56610,1299.87097,-1145.88184,-42.80842,1315.32312,-426.84723,194.37743,86.15444,260.40802,-77.91985,6.05476,-840.65497,178.76785,-2.51231,-1417.63306,-212.01779,21.43352
21,0.167,778.99182,-59.04543,1323.92676,-354.88388,-9.71896,1295.84387,-1147.21484,-43.90232,1310.97253,-404.64764,198.40656,90.80921,236.32454,-78.45216,5.80841,-864.85748,177.80774,-2.57488,-1392.72485,-213.61449,18.45003
22,0.175,779.19189,-61.66473,1325.79858,-356.19177,-8.82793,1291.77625,-1148.69556,-45.10440,1306.54883,-380.49216,201.90489,94.60923,212.25050,-78.95997,5.59436,-888.72473,176.89279,-2.81021,-1367.31445,-214.28738,15.92785
23,0.183,779.23090,-64.24538,1328.14893,-357.77896,-7.92842,1287.75122,-1150.23267,-46.14410,1302.21667,-354.68509,204.68607,97.43705,188.27692,-79.49611,5.37382,-912.35089,176.01292,-3.07094,-1342.31714,-213.85925,14.32860
24,0.192,779.03546,-66.78631,1331.03357,-359.71109,-6.96484,1283.85925,-1151.74963,-46.76332,1298.10913,-327.54108,206.54242,99.15948,164.48584,-80.11535,5.13517,-935.97845,175.07941,-3.18881,-1317.23279,-212.17540,14.03597
25,0.200,778.54254,-69.30597,1334.50842,-362.06104,-5.79381,1280.20056,-1153.19897,-46.85208,1294.29749,-299.36810,207.31479,99.66283,140.92400,-80.85117,4.89990,-959.74066,174.04388,-3.13585,-1290.97144,-209.26648,15.22198
26,0.208,777.70300,-71.81850,1338.62317,-364.85541,-4.25288,1276.87585,-1154.57690,-46.51622,1290.77759,-270.41687,207.05649,98.94725,117.63156,-81.68096,4.69145,-983.55835,172.96237,-3.02275,-1263.10229,-205.56007,17.83180
27,0.217,776.48132,-74.32178,1343.41418,-368.00296,-2.28051,1273.96423,-1155.93323,-46.02322,1287.50195,-240.80884,206.20767,97.24584,94.61981,-82.54934,4.49426,-1007.23590,171.95297,-2.97409,-1234.09204,-201.60240,21.47599
28,0.225,774.85547,-76.81307,1348.89954,-371.26224,-0.00959,1271.51025,-1157.33801,-45.66215,1284.44055,-210.51926,205.49983,95.01680,71.75037,-83.38519,4.25686,-1030.63245,171.13609,-3.00443,-1204.64270,-197.53270,25.40856
29,0.233,772.81622,-79.29846,1355.07581,-374.31305,2.26353,1269.52966,-1158.81104,-45.64349,1281.63123,-179.49301,205.42587,92.68275,48.74167,-84.13571,3.97888,-1053.77905,170.51273,-3.04102,-1175.03394,-193.02171,28.89221
30,0.242,770.36096,-81.76244,1361.90759,-376.90561,4.23785,1268.02393,-1160.29663,-46.08934,1279.19543,-147.80441,205.75713,90.31631,25.37793,-84.84589,3.75609,-1076.89172,169.90344,-3.03056,-1145.04358,-187.64949,31.65797
