"Frame","Time","HeadX","HeadY","HeadZ","WithersX","WithersY","WithersZ","SacrumX","SacrumY","SacrumZ","HFLX","HFLY","HFLZ","HFRX","HFRY","HFRZ","HHLX","HHLY","HHLZ","HHRX","HHRY","HHRZ"
1,0.000,1008.43475,-212.94713,1422.08240,-86.69177,-17.60977,1284.15027,-832.70221,57.18565,1298.67297,55.68415,118.26321,-3.20288,617.74969,-203.80423,54.08510,-531.04150,167.10310,58.83701,-1038.12781,-69.04398,-10.73585
2,0.008,1007.65540,-213.87509,1423.78198,-85.04292,-17.25654,1288.83630,-832.14771,57.66350,1302.76709,30.39237,119.80122,-2.81266,652.62518,-205.57234,56.76858,-506.99976,163.11768,58.77340,-1063.17285,-67.64845,-10.57803
3,0.017,1007.02661,-214.78505,1425.37610,-83.33403,-16.88061,1293.56372,-831.55719,58.01097,1306.83179,5.14916,121.36293,-2.47025,684.75128,-207.91740,59.71676,-483.89862,160.02118,58.40511,-1088.18604,-66.15833,-10.32447
4,0.025,1006.65466,-215.65828,1426.76831,-81.50321,-16.43587,1298.29285,-830.90594,58.14167,1310.78943,-19.90129,123.04001,-2.15787,711.70789,-210.77237,62.16861,-462.45444,158.44958,57.39105,-1112.85742,-64.81132,-9.64152
5,0.033,1006.58630,-216.47647,1427.88159,-79.49158,-15.86743,1302.88745,-830.18347,58.03136,1314.49963,-44.50321,124.96044,-1.85339,731.96405,-213.49817,62.74744,-443.16916,158.71768,55.37963,-1136.62061,-64.06601,-7.98941
6,0.042,1006.81622,-217.22809,1428.66565,-77.27333,-15.15613,1307.15552,-829.39337,57.71191,1317.78406,-68.52918,127.15730,-1.56693,745.28772,-215.51854,60.64876,-426.38400,160.71483,52.04200,-1158.97131,-64.06287,-5.02154
7,0.050,1007.30054,-217.91708,1429.09436,-74.89202,-14.35242,1310.90283,-828.54590,57.26541,1320.46948,-92.37992,129.48724,-1.17419,752.69312,-216.71808,56.09659,-412.21265,163.77295,47.10595,-1179.74060,-64.35128,-0.93115
8,0.058,1007.97266,-218.56009,1429.15686,-72.44782,-13.56561,1313.97485,-827.64191,56.81545,1322.43054,-116.94865,131.78226,-0.07778,755.95435,-217.31021,49.89331,-400.58282,167.12128,40.60077,-1199.07617,-64.40021,3.77038
9,0.067,1008.76080,-219.17209,1428.84656,-70.04836,-12.91786,1316.28076,-826.66534,56.48828,1323.62952,-142.72296,134.04071,3.05643,756.72748,-217.59195,42.92511,-391.45740,170.69530,33.19553,-1217.15698,-64.12217,8.73849
10,0.075,1009.60565,-219.75883,1428.15222,-67.78061,-12.49995,1317.79004,-825.60028,56.36087,1324.14075,-168.57520,136.32716,10.14672,755.72498,-217.77817,35.92390,-384.92532,175.00975,25.99144,-1233.83350,-63.57645,13.83827
11,0.083,1010.47052,-220.32327,1427.05627,-65.71049,-12.35441,1318.50171,-824.44934,56.45464,1324.11377,-191.40643,138.55971,22.72200,752.59033,-217.85205,29.23298,-381.11163,180.17390,19.79055,-1248.53223,-62.54729,18.86452
12,0.092,1011.34143,-220.88016,1425.54431,-63.88908,-12.48492,1318.41077,-823.23041,56.77535,1323.68518,-207.34888,140.45746,40.35351,746.40222,-217.57800,22.74299,-380.16974,185.40494,14.61768,-1260.53857,-60.79847,23.53966
13,0.100,1012.22388,-221.46045,1423.61194,-62.34748,-12.86618,1317.49951,-821.97070,57.32962,1322.92310,-213.88989,141.69106,60.21832,736.33826,-216.69141,16.31588,-382.33698,189.67543,9.94339,-1269.27747,-58.48184,27.69699
14,0.108,1013.14319,-222.08990,1421.25757,-61.08382,-13.44351,1315.76050,-820.71680,58.09907,1321.83447,-211.02463,142.19643,78.85871,722.21393,-215.09610,10.28849,-387.91202,192.79413,5.42867,-1274.34912,-56.10616,31.21806
15,0.117,1014.14001,-222.77037,1418.47363,-60.06467,-14.13826,1313.22363,-819.54419,59.01707,1320.40332,-200.50555,142.28287,94.31046,704.51404,-212.96201,5.36222,-397.17758,195.32280,1.37226,-1275.58252,-54.27871,33.82961
