"Frame#","Time","HeadX","HeadY","HeadZ","WithersX","WithersY","WithersZ","SacrumX","SacrumY","SacrumZ","HFLX","HFLY","HFLZ","HFRX","HFRY","HFRZ","HHLX","HHLY","HHLZ","HHRX","HHRY","HHRZ"
25,0.400,709.43317,-48.20418,1465.24243,-450.82135,-24.36795,1256.79077,-1183.13037,23.63016,1238.21167,-155.17264,66.02596,1.18777,103.04499,-204.68237,77.27712,-1071.47034,115.18622,41.72058,-1223.13818,-181.72749,3.03361
26,0.417,703.54572,-47.03699,1474.17139,-450.79337,-23.25608,1264.17139,-1183.85681,25.14646,1245.00891,-204.63394,66.21854,1.74306,177.15364,-192.00262,68.35609,-1001.66168,101.70883,47.10603,-1273.26001,-181.89641,3.95518
27,0.433,698.65283,-46.03149,1483.21313,-450.67429,-21.79376,1273.46863,-1183.98145,26.26000,1253.90063,-254.82263,65.87125,2.53878,248.79131,-173.78951,57.37989,-931.66235,91.31889,51.15397,-1323.47986,-183.09061,4.81060
28,0.450,695.41711,-45.11141,1491.89636,-449.61243,-19.88335,1283.79602,-1183.37366,26.76241,1264.03613,-305.81274,64.94951,3.05458,321.79428,-154.94730,48.39352,-864.07886,85.54857,54.51566,-1374.07385,-184.19902,4.92019
29,0.467,694.09760,-44.06932,1499.71411,-447.28589,-17.45844,1294.03345,-1182.14746,26.31951,1274.25537,-356.64417,64.42170,3.09636,391.91656,-143.13304,47.28417,-802.92578,85.21212,55.80199,-1423.36804,-184.57492,6.91348
30,0.483,694.38940,-42.77199,1506.16797,-444.07999,-14.92607,1303.17151,-1180.71179,24.83720,1283.14111,-405.36868,65.27531,4.48753,441.55573,-137.85025,47.40265,-752.03931,91.13026,52.15126,-1466.45605,-186.00723,14.28381
31,0.500,695.55542,-41.18233,1510.93433,-440.91623,-13.09890,1310.47803,-1179.64612,22.67767,1289.59570,-448.02960,67.70493,9.35167,462.93036,-133.57031,39.10150,-712.81757,103.45406,42.19968,-1499.86621,-190.13109,25.68204
32,0.517,696.85931,-39.34847,1513.91577,-438.62161,-12.48741,1315.39490,-1179.12170,20.74528,1293.46606,-480.56320,71.45401,18.24891,466.29169,-128.94952,25.72141,-684.71234,120.66940,29.44221,-1524.85254,-195.83064,39.20210
33,0.533,697.90155,-37.45140,1515.18811,-437.16440,-12.95660,1317.49524,-1178.58569,20.05632,1295.18860,-499.44534,76.13327,34.48143,458.51999,-124.25480,13.14353,-670.25745,141.12224,18.55447,-1543.73169,-198.83047,53.73785
34,0.550,698.66724,-35.73561,1514.85425,-435.84482,-13.93550,1316.60901,-1177.34558,20.84865,1294.86401,-499.38089,80.79360,58.79231,435.67441,-118.87848,2.22050,-675.59552,161.04199,8.27168,-1554.70532,-194.44550,63.26003
35,0.567,699.47253,-34.30765,1512.93494,-434.15573,-14.65551,1312.83948,-1175.43396,22.43480,1292.26123,-478.26517,85.01399,81.84071,396.45529,-114.70194,-4.77175,-702.76563,173.38683,-2.27624,-1553.26196,-186.19156,64.55918
36,0.583,700.87372,-33.04780,1509.45239,-432.19464,-14.60305,1306.48926,-1173.53320,23.89144,1287.67786,-441.97717,89.23793,96.59608,347.95761,-113.92819,-6.58870,-745.25928,176.62578,-8.06499,-1538.35278,-183.86429,62.88408
37,0.600,703.40875,-31.72881,1504.50745,-430.45895,-13.95357,1298.08813,-1172.14368,24.56447,1282.06079,-397.71716,93.39812,105.82586,298.34955,-114.77550,-6.62930,-793.69690,176.50934,-8.60430,-1511.63379,-188.44868,60.46437
38,0.617,707.15680,-30.20356,1498.26782,-429.40335,-13.32104,1288.34375,-1171.44507,24.29658,1275.87744,-349.36206,97.03043,112.41527,250.03447,-115.61997,-6.86406,-842.45673,176.38202,-8.79765,-1472.05713,-193.41182,54.03090
39,0.633,711.47705,-28.47566,1491.15015,-429.31091,-13.13766,1278.02478,-1171.58875,23.36458,1268.68298,-298.43265,99.95119,116.44933,201.75620,-116.85825,-6.76105,-890.45435,176.08334,-9.85704,-1419.55542,-196.40254,44.62183
40,0.650,715.32635,-26.61133,1484.01355,-430.68842,-13.02427,1268.01733,-1172.39551,22.01835,1260.38757,-243.99329,102.50329,118.47272,153.37697,-117.55983,-6.98815,-938.46008,175.70773,-10.44733,-1359.95850,-197.84586,38.30271
41,0.667,717.83649,-24.71683,1477.95227,-433.93542,-11.79719,1259.30505,-1173.35376,20.21086,1251.91406,-185.05115,105.32587,118.49406,105.44844,-117.52386,-7.66386,-986.69043,175.25072,-10.49117,-1298.83447,-196.46101,37.75866
42,0.683,718.64526,-23.00574,1473.84094,-437.76825,-8.98674,1252.59167,-1173.99048,17.58864,1244.47876,-121.90115,108.65826,115.91759,57.69708,-117.78853,-8.03405,-1034.83313,174.80426,-10.53231,-1236.66809,-190.52794,39.73898
43,0.700,717.93835,-21.67709,1471.99878,-439.48450,-5.89899,1248.10938,-1173.74438,13.85340,1239.16626,-54.65956,112.30454,111.43089,9.53028,-118.27565,-8.27930,-1083.01587,174.34395,-10.57834,-1174.20776,-179.59573,42.00009
44,0.717,716.20734,-20.70106,1472.24377,-438.22916,-4.35600,1246.01135,-1172.29541,9.43544,1236.69861,16.24454,115.44276,105.94020,-39.30012,-118.64194,-8.67267,-1131.58179,173.48866,-10.30527,-1114.16821,-164.94209,45.33887
45,0.733,713.92993,-19.88008,1474.25012,-435.97778,-4.94443,1246.61414,-1170.16345,5.19386,1237.07983,89.90097,116.84449,99.36516,-88.39111,-119.10307,-8.91319,-1180.62451,172.68373,-9.72543,-1055.38000,-148.88240,48.82985
46,0.750,711.52576,-19.07191,1477.69299,-434.27914,-6.73194,1250.07776,-1168.01880,1.46139,1239.92981,165.07101,116.21891,92.68110,-137.54498,-119.75948,-8.78198,-1230.35828,171.99289,-9.12015,-993.41956,-133.92377,51.48627
47,0.767,709.50031,-18.25158,1482.12732,-432.41800,-8.52924,1256.16748,-1165.80469,-1.85965,1244.99744,238.11588,113.31596,86.93933,-187.32977,-120.35030,-8.45699,-1280.74756,170.63780,-8.60822,-926.65735,-122.37807,55.20221
48,0.783,708.50952,-17.48540,1486.97473,-429.11880,-10.10089,1264.30640,-1163.10669,-4.67250,1252.00940,306.45529,106.68941,79.61407,-237.69231,-120.92152,-7.94905,-1331.37500,169.59387,-8.19624,-857.00659,-115.87727,61.94019
49,0.800,709.21381,-16.93005,1491.62964,-424.17093,-11.81444,1273.57605,-1159.82239,-6.68793,1260.24170,374.79639,98.76668,71.59637,-288.22025,-121.46524,-7.37646,-1382.31335,169.83607,-7.96981,-789.61212,-114.36906,70.61597
50,0.817,711.98505,-16.77245,1495.55640,-418.38144,-13.77988,1282.79517,-1156.16150,-7.67203,1268.44800,442.81418,96.42414,69.61072,-339.34634,-121.95995,-7.00893,-1431.89844,170.27344,-5.90921,-732.97595,-116.37392,75.49343
51,0.833,716.74982,-17.09091,1498.31238,-412.76407,-15.67178,1290.78906,-1152.29272,-7.71831,1275.41968,492.74960,99.66773,68.44597,-389.20554,-123.41488,-6.10318,-1475.64648,170.77963,0.97178,-691.87653,-121.61592,70.77766
52,0.850,723.04291,-17.82610,1499.46741,-407.77441,-16.80694,1296.60828,-1148.35327,-7.40219,1280.48975,511.77225,102.55280,55.66000,-433.62213,-126.22026,-3.94308,-1510.85327,172.78041,11.88069,-663.00024,-130.50946,58.40961
53,0.867,730.11279,-18.95433,1498.59790,-403.27991,-16.56800,1299.68347,-1144.55298,-7.50474,1283.33740,510.85452,104.69337,35.10273,-470.63181,-130.26663,2.85720,-1538.82959,175.49480,25.64496,-643.57153,-141.32045,44.09127
54,0.883,737.17633,-20.51291,1495.47900,-399.06650,-15.18184,1299.88159,-1140.88452,-8.71918,1283.76184,501.03049,107.01177,17.87525,-493.61475,-138.01794,22.95578,-1559.73267,174.30957,41.77570,-636.29626,-151.21857,29.06974
55,0.900,743.83276,-22.36335,1490.30164,-395.01138,-13.68526,1297.36462,-1137.16235,-11.33644,1281.80981,475.71439,106.92640,7.80354,-489.86621,-150.48633,54.42907,-1568.56042,167.47206,54.66495,-644.26947,-158.47220,14.42947
56,0.917,750.35400,-24.11215,1483.59497,-391.03586,-13.00686,1292.44836,-1133.50134,-14.83411,1277.90295,431.94333,105.00560,4.51276,-458.67606,-163.11143,79.54638,-1561.72681,160.48586,58.72942,-669.30688,-162.54135,5.39876
57,0.933,757.61755,-25.37368,1475.70349,-387.28293,-13.32000,1285.56567,-1130.35327,-18.20222,1272.78918,381.42746,104.13567,4.35796,-412.19000,-172.24765,90.27977,-1540.60474,158.73914,55.30638,-709.94659,-164.03387,3.53538
58,0.950,766.44397,-26.11438,1466.48840,-384.13602,-14.14195,1277.23059,-1128.08630,-20.86710,1267.19202,332.69833,103.97955,3.85481,-359.11774,-179.08484,94.42998,-1504.70020,162.11925,47.85863,-758.50256,-164.20557,3.97841
59,0.967,776.66827,-26.62641,1455.92163,-381.96875,-14.96953,1268.03186,-1126.66943,-22.80737,1261.39221,284.99371,103.27112,2.85750,-302.60950,-185.29657,97.78697,-1453.15759,166.67712,37.96896,-807.63116,-163.87093,3.25925
60,0.983,786.99469,-27.10833,1444.76074,-381.28830,-16.01546,1258.81091,-1125.70984,-23.71466,1255.25488,237.24304,102.57527,2.10403,-243.51648,-190.88579,100.85361,-1390.33813,168.72618,28.21668,-855.69165,-163.89429,1.97311
61,1.000,795.89465,-27.45473,1434.39490,-382.86841,-18.09110,1250.90259,-1124.71924,-22.81107,1248.72998,189.73206,102.25603,1.85339,-180.71848,-195.39258,102.59268,-1321.89307,167.28503,22.63377,-903.12500,-165.02074,1.37819
62,1.017,802.60779,-27.48793,1426.16089,-386.56131,-21.18748,1245.72876,-1123.48938,-20.00442,1242.39404,142.44911,101.70119,1.68379,-113.57221,-198.23315,100.65392,-1251.96826,161.34474,22.69417,-950.21289,-166.47672,1.31260
63,1.033,807.37329,-27.25198,1420.66028,-390.10498,-23.97416,1243.77930,-1122.37158,-16.56744,1237.51501,95.26221,100.97255,1.43947,-42.64674,-199.07005,94.17559,-1185.07104,149.51564,26.41766,-997.53491,-167.15306,1.08002
64,1.050,810.91284,-27.01949,1417.58960,-390.75562,-25.48452,1244.47705,-1121.85144,-13.94686,1235.44800,47.69475,100.58367,1.47814,31.22520,-198.46649,84.84562,-1123.46741,132.81674,31.14084,-1045.19714,-167.47478,1.09798
65,1.067,813.87140,-27.08444,1416.24072,-388.26520,-26.05030,1247.28345,-1121.64978,-12.37381,1236.91150,-0.50901,100.31380,1.66536,107.72800,-196.87645,74.45708,-1064.45654,114.10464,34.93088,-1093.13184,-167.91010,1.62907
66,1.083,816.66254,-27.66730,1416.04810,-384.85776,-26.34769,1252.33008,-1120.81641,-11.16120,1241.80603,-49.33937,99.81159,1.73362,186.78745,-193.37215,63.70515,-1004.40216,96.04630,36.81801,-1141.80981,-167.99745,2.06418
67,1.100,819.55878,-28.90983,1416.73145,-382.28598,-26.63359,1259.83289,-1118.81104,-9.85254,1249.45203,-98.85699,99.06957,1.72437,266.71384,-186.38319,52.40425,-942.07434,80.44379,37.50406,-1190.98096,-168.36197,2.88707
68,1.117,822.84058,-30.78230,1418.07642,-380.09723,-26.76022,1269.44092,-1115.85278,-8.64954,1258.84424,-148.66483,98.04505,1.93127,346.06189,-177.71556,42.87909,-878.25848,68.72271,38.64037,-1240.52380,-169.60349,4.01499
69,1.133,826.85864,-33.07815,1419.63293,-376.74527,-26.53817,1280.26648,-1112.33643,-8.12758,1268.91748,-198.68819,96.85980,2.47094,423.35239,-173.26382,40.68026,-815.62799,62.02685,40.88453,-1290.89404,-170.87061,4.32631
70,1.150,831.81329,-35.56685,1420.75586,-371.52957,-26.12349,1291.20886,-1108.53943,-8.82354,1278.68616,-249.47725,95.95431,2.90735,488.52866,-174.61053,43.61327,-757.72198,60.46685,43.15271,-1338.73828,-172.71170,6.98938
71,1.167,837.39819,-38.07769,1420.93958,-365.32678,-26.02544,1301.15723,-1104.80542,-10.75689,1287.10254,-299.53186,95.76544,4.18566,528.04620,-177.24844,41.06147,-707.47937,63.64523,42.84142,-1378.18408,-176.79292,14.84623
72,1.183,842.81525,-40.54713,1420.01611,-359.73871,-26.87141,1309.13000,-1101.57275,-13.12589,1293.18628,-344.79617,96.56055,8.94320,543.29846,-178.73274,29.81315,-666.55688,71.68693,37.51755,-1407.72949,-183.46725,24.62453
73,1.200,847.27039,-43.09608,1418.11206,-355.56824,-29.06590,1314.39380,-1099.00916,-14.70702,1296.72461,-380.69489,98.50191,19.28044,545.65216,-179.15984,15.62088,-634.74084,84.10433,27.93540,-1429.42285,-190.98566,36.13140
74,1.217,850.45093,-45.93031,1415.45483,-352.19370,-32.36353,1316.49841,-1096.56458,-14.92728,1298.54456,-401.04172,101.13574,37.54594,537.05469,-177.93001,3.85496,-611.44525,98.60815,18.15278,-1441.89111,-195.44931,50.02208
75,1.233,852.61145,-49.09082,1412.16199,-348.48016,-35.83876,1315.35339,-1093.28967,-14.28932,1299.42542,-399.23956,103.19069,62.24610,512.07874,-175.75201,-2.92885,-599.87677,113.48469,10.04745,-1439.55969,-195.98685,59.04250
76,1.250,854.41199,-52.32449,1408.24060,-344.03781,-38.45247,1311.32068,-1089.00867,-13.44847,1298.89954,-375.18781,104.36776,84.50728,471.04395,-174.96458,-5.37372,-605.56378,128.40155,1.49959,-1421.20850,-197.30615,59.36357
77,1.267,856.72772,-55.23724,1403.60718,-339.53577,-39.66838,1305.10608,-1084.77332,-12.69650,1295.87134,-335.55637,105.89423,99.61803,421.95541,-175.99646,-6.04656,-628.76324,140.15225,-6.07081,-1391.72327,-202.67139,55.67987
78,1.283,860.29272,-57.56050,1397.99573,-336.03189,-39.65567,1297.51636,-1081.91443,-12.37972,1290.04504,-286.69824,107.95381,110.86436,372.52652,-177.11037,-6.57014,-665.53955,144.75288,-8.73317,-1352.50464,-210.46758,50.65488
79,1.300,865.19409,-59.16265,1391.29395,-334.10791,-39.07683,1289.26221,-1081.01282,-12.60762,1281.99341,-232.65460,108.71432,118.87875,324.43585,-177.51723,-7.36231,-711.52466,144.31612,-8.50611,-1300.92773,-217.33217,43.33520
80,1.317,870.70947,-60.02155,1384.11182,-333.83209,-38.41594,1280.88489,-1081.62805,-12.71905,1272.57532,-175.85828,106.58865,122.10414,276.79007,-177.74702,-8.06344,-760.33948,143.35205,-8.91487,-1239.19775,-220.73235,34.90430
81,1.333,875.71967,-60.42830,1377.70618,-335.47672,-37.15978,1272.91260,-1082.62427,-12.08741,1262.96521,-116.44837,102.26862,122.55157,229.48642,-178.42587,-8.20139,-808.06903,142.55728,-9.63331,-1174.29919,-220.43607,29.92201
82,1.350,879.33972,-60.86921,1373.33789,-339.22211,-34.41073,1266.06201,-1083.05286,-11.33352,1254.43433,-53.80046,97.84911,122.24158,182.28096,-179.61473,-8.19860,-855.36920,141.31718,-10.13524,-1110.15552,-217.56631,31.13887
83,1.367,881.26245,-61.62428,1371.69739,-343.59644,-30.81907,1261.05200,-1082.99207,-12.01077,1247.79785,12.46266,94.21507,120.18803,135.05191,-180.74745,-8.55680,-902.69897,140.18092,-10.61703,-1046.03369,-212.33777,35.74550
84,1.383,881.66870,-62.72123,1372.77686,-345.86172,-28.50417,1258.29883,-1083.24011,-14.96022,1243.58337,82.69630,90.85880,115.32578,87.76688,-181.51486,-8.98712,-950.18744,139.40179,-10.68958,-981.69727,-204.35583,40.32285
85,1.400,880.97021,-63.99663,1376.12378,-345.10330,-28.66426,1258.02344,-1084.02588,-19.53121,1242.35474,156.58926,87.51759,107.97388,39.97236,-182.04494,-9.04899,-998.24615,138.71869,-10.23188,-918.89923,-193.87297,44.50762
86,1.417,879.63379,-65.11003,1381.11072,-343.12921,-30.58387,1260.43591,-1084.40503,-24.64815,1244.43372,233.22708,84.21941,99.39641,-8.63273,-182.43401,-8.88210,-1046.88257,138.05632,-9.75005,-858.89551,-181.21767,47.94160
