"Frame#","Time","HeadX","HeadY","HeadZ","WithersX","WithersY","WithersZ","SacrumX","SacrumY","SacrumZ","HFLX","HFLY","HFLZ","HFRX","HFRY","HFRZ","HHLX","HHLY","HHLZ","HHRX","HHRY","HHRZ"
1,0.000,669.15662,124.89725,1365.95825,-534.26440,10.27743,1271.42163,-1307.43518,58.88764,1287.58813,228.29375,182.58505,60.89191,-296.25879,-112.13441,4.54475,-1000.01007,307.31271,-2.25559,-1784.80396,-147.81284,36.44136
2,0.008,664.28619,124.49792,1373.52527,-533.68420,10.35184,1271.73853,-1306.57397,58.66797,1292.49841,251.09848,183.87013,61.57435,-309.85202,-112.52261,4.36883,-1013.44330,307.40356,-2.10813,-1776.90430,-138.30417,33.47601
3,0.017,659.33673,124.09062,1381.06506,-533.08185,10.48503,1272.12280,-1305.69629,58.61068,1297.36377,272.38074,185.21756,61.53296,-323.36276,-112.88270,4.28523,-1026.92639,307.32581,-1.89719,-1767.28308,-129.01321,31.39526
4,0.025,654.25623,123.65297,1388.55396,-532.44031,10.72581,1272.62378,-1304.81323,58.78672,1302.14368,291.22156,186.65498,60.29393,-336.85651,-113.23122,4.29811,-1040.48291,306.97672,-1.65918,-1755.38904,-120.38865,30.70963
5,0.033,649.02509,123.16219,1395.96704,-531.75000,11.11462,1273.26782,-1303.96704,59.14822,1306.80408,307.28326,188.25319,57.63182,-350.42249,-113.59366,4.35241,-1054.11316,306.39963,-1.48309,-1741.72180,-112.83923,31.33572
6,0.042,643.65234,122.62443,1403.27246,-531.00763,11.68704,1274.06213,-1303.21179,59.57372,1311.31250,320.54791,190.02083,53.72141,-364.04941,-113.97723,4.42002,-1067.80762,305.77448,-1.40150,-1726.78760,-106.46783,32.71186
7,0.050,638.17487,122.07851,1410.44031,-530.21301,12.47570,1274.99792,-1302.58875,59.95240,1315.63123,331.11377,191.77194,49.19721,-377.70682,-114.38818,4.50398,-1081.54407,305.29047,-1.33975,-1710.44897,-101.19406,34.18687
8,0.058,632.65271,121.57497,1417.45288,-529.37537,13.50580,1276.05847,-1302.11206,60.24680,1319.71741,339.01022,193.33786,44.60565,-391.41940,-114.81052,4.59575,-1095.29895,304.99432,-1.18621,-1692.17151,-96.87048,35.32724
9,0.067,627.15875,121.15177,1424.30225,-528.52350,14.77990,1277.22388,-1301.77148,60.48589,1323.52795,344.15924,194.74176,39.94499,-405.21982,-115.17865,4.67508,-1109.07373,304.76459,-0.91868,-1671.53210,-93.27466,35.99352
10,0.075,621.76660,120.81414,1430.97607,-527.69781,16.28247,1278.47314,-1301.54407,60.71546,1327.02808,346.45142,196.07271,34.93082,-419.10916,-115.46336,4.73492,-1122.92236,304.41534,-0.63852,-1648.46667,-90.15588,36.26777
