"Frame#","Time","HeadX","HeadY","HeadZ","WithersX","WithersY","WithersZ","SacrumX","SacrumY","SacrumZ","HFLX","HFLY","HFLZ","HFRX","HFRY","HFRZ","HHLX","HHLY","HHLZ","HHRX","HHRY","HHRZ"
1,0.000,498.09637,-159.01657,1469.75330,-672.89978,12.67886,1263.35974,-1412.27795,21.55884,1273.20313,-556.10889,91.97163,1.46336,232.98697,-177.98018,1.99704,-1790.22888,173.92287,27.31635,-1132.39563,-166.21967,3.70404
2,0.017,493.55276,-158.48253,1471.24365,-670.42169,9.46536,1265.99280,-1410.00220,21.90017,1280.35779,-582.35443,91.57903,1.65291,216.74173,-176.85634,-3.65322,-1744.87427,169.19693,25.83849,-1158.64185,-166.41391,3.99681
3,0.033,489.80975,-158.14709,1472.26001,-667.78662,5.42540,1269.07336,-1407.76550,22.12253,1287.06152,-608.44397,91.04896,1.74056,194.13730,-175.77515,-5.23629,-1692.10535,165.97055,26.23822,-1184.74097,-166.85382,4.32417
4,0.050,487.43109,-158.12366,1472.56091,-664.96008,0.57120,1272.75378,-1405.69092,22.17189,1293.03345,-634.59210,90.89405,1.81345,167.68872,-175.60854,-5.14002,-1632.11597,163.13519,28.35768,-1210.90723,-167.15981,4.55476
5,0.067,486.66251,-158.40976,1471.95642,-662.19019,-4.39385,1276.91125,-1404.07642,22.08730,1298.06763,-660.05066,90.95896,2.49419,141.68185,-176.20070,-5.57135,-1568.24622,158.38177,30.35253,-1237.27710,-167.23381,4.80530
6,0.083,487.39920,-158.92490,1470.30652,-660.03827,-8.74507,1281.29688,-1403.25745,21.95099,1301.95642,-683.26721,91.14840,4.58446,116.18452,-177.07925,-6.10235,-1502.21069,152.03709,31.85481,-1263.45862,-167.61653,5.12278
7,0.100,489.30426,-159.54350,1467.69324,-659.08356,-12.09823,1285.60352,-1403.36853,21.74234,1304.61169,-703.73303,92.08647,8.89491,90.54135,-178.05823,-6.48316,-1435.23462,146.87729,34.34890,-1289.20813,-168.48982,5.36484
8,0.117,492.12347,-160.09799,1464.28784,-659.56042,-14.38014,1289.51099,-1404.36304,21.32226,1306.13953,-720.86938,93.50246,15.92463,65.08627,-178.68149,-6.73645,-1367.58105,143.70905,37.06275,-1314.78760,-169.34608,5.59437
9,0.133,495.77350,-160.46387,1460.12781,-661.32611,-15.69389,1292.73804,-1406.20422,20.63044,1306.73889,-730.26245,95.52652,24.74817,39.79767,-179.20624,-6.84100,-1297.85327,141.70099,38.08597,-1340.26880,-169.94882,5.85568
10,0.150,500.07428,-160.64014,1455.13293,-664.02466,-16.21967,1295.09253,-1408.92371,19.80132,1306.52417,-725.52191,98.76891,33.80538,14.50633,-179.87997,-6.85465,-1226.63379,141.05405,38.02142,-1365.56897,-170.54941,6.03340
11,0.167,504.57285,-160.67645,1449.32397,-667.20007,-16.18075,1296.52271,-1412.47058,19.14479,1305.45947,-704.58423,102.44624,42.51062,-10.64618,-180.19310,-7.03558,-1157.60986,142.27560,37.09780,-1390.84778,-170.90152,5.96236
12,0.183,508.76050,-160.59583,1442.98340,-670.42834,-15.78046,1297.12036,-1416.49365,19.10048,1303.46716,-670.34088,107.10625,50.05939,-35.62979,-180.39397,-7.30498,-1093.80811,146.45612,33.82383,-1416.21631,-170.71428,5.70817
13,0.200,512.46088,-160.37163,1436.49597,-673.46289,-15.10870,1297.07520,-1420.39404,19.97787,1300.52710,-627.07440,113.64738,54.36094,-60.73248,-180.83783,-7.48033,-1036.64087,155.24091,27.83206,-1441.60547,-170.83594,5.67256
14,0.217,515.89685,-159.90080,1430.09265,-676.27209,-14.21535,1296.60681,-1423.74829,21.63489,1296.65479,-578.22760,119.05405,54.10078,-86.02469,-181.19734,-7.70900,-987.51923,168.34529,20.01260,-1466.81836,-171.79964,5.84737
15,0.233,519.35040,-159.05206,1423.88428,-678.97522,-13.20127,1295.89990,-1426.53650,23.70366,1291.83582,-526.17090,120.19102,50.77624,-111.26151,-181.65050,-7.79909,-948.24634,183.71838,12.05779,-1491.80200,-172.77939,5.86697
16,0.250,522.86688,-157.72719,1418.02808,-681.74298,-12.14572,1295.09192,-1428.86304,26.09712,1286.01306,-473.11337,117.82922,47.55923,-136.57495,-182.36029,-7.64901,-922.49915,199.99712,5.33961,-1516.98669,-173.31761,5.71902
17,0.267,526.27881,-155.87373,1412.77563,-684.66711,-11.16542,1294.26721,-1430.74292,28.98071,1279.23535,-420.41571,113.78933,46.48315,-162.22885,-182.85457,-7.56830,-914.54285,214.63336,-0.92456,-1542.67847,-173.55876,5.51628
18,0.283,529.38257,-153.57814,1408.44141,-687.60663,-10.54276,1293.40454,-1432.18384,32.41017,1271.98169,-367.28888,109.00077,47.26622,-187.97723,-182.95639,-7.65026,-922.99335,222.98193,-6.12176,-1568.58643,-173.73003,5.35589
19,0.300,532.00549,-151.10463,1405.31982,-690.15363,-10.44440,1292.31628,-1433.18506,36.23549,1265.28271,-312.11310,104.06184,48.44207,-213.49094,-183.10985,-7.74154,-941.86334,224.61697,-7.88899,-1594.35876,-174.14413,5.37122
20,0.317,533.92810,-148.68849,1403.58887,-691.87158,-10.59449,1290.71631,-1433.66040,40.21850,1260.30066,-254.59946,98.98292,49.28920,-238.93103,-183.50369,-7.76000,-966.16718,224.09171,-7.67707,-1619.94824,-174.40463,5.49597
21,0.333,534.86646,-146.35008,1403.29639,-692.64124,-10.57534,1288.45044,-1433.53540,44.05571,1257.79126,-195.58258,93.69795,50.39868,-264.47412,-183.74492,-7.79067,-991.88647,223.91550,-8.06347,-1645.46155,-174.34789,5.59148
22,0.350,534.57233,-143.98341,1404.41553,-692.71942,-10.26791,1285.65210,-1432.89978,47.30412,1257.92126,-136.02414,88.36443,52.18280,-289.81967,-183.73569,-7.72829,-1017.00452,223.76909,-8.53735,-1670.56250,-174.23500,5.94432
23,0.367,532.90533,-141.54112,1406.89136,-692.49286,-9.79458,1282.69812,-1432.01782,49.47493,1260.32935,-76.99423,82.49161,53.79573,-314.92062,-183.75732,-7.59795,-1042.00024,223.85532,-8.45575,-1694.34204,-173.76126,7.63205
24,0.383,529.85687,-139.04742,1410.62952,-692.23395,-9.35607,1280.04260,-1431.17700,50.29910,1264.29077,-18.81885,75.77774,53.59529,-340.06332,-183.80745,-7.85974,-1067.04993,224.20392,-8.38437,-1716.44385,-173.26616,11.68765
25,0.400,525.60046,-136.51260,1415.45740,-691.99170,-9.19257,1278.04077,-1430.52783,49.86879,1269.00879,39.95221,69.09237,51.51273,-365.23526,-183.75768,-8.26076,-1091.89844,224.08257,-8.57302,-1737.31006,-172.30411,17.69199
26,0.417,520.49188,-133.95508,1421.10278,-691.66400,-9.36845,1276.84253,-1430.13123,48.58025,1273.95850,99.63080,63.83166,50.76549,-390.35049,-183.67284,-8.21126,-1116.76953,223.78525,-8.69161,-1757.21643,-169.16634,24.75073
27,0.433,514.88226,-131.40111,1427.20667,-691.17340,-9.71242,1276.34546,-1430.00037,47.03103,1279.01208,154.54370,60.73446,52.14709,-415.31247,-183.62802,-8.12566,-1141.92969,223.97470,-8.50292,-1773.83691,-165.41522,33.57008
28,0.450,508.92447,-128.80188,1433.41077,-690.50287,-10.12626,1276.23743,-1429.95496,45.80480,1284.20093,196.33478,58.83631,50.17199,-440.31259,-183.65628,-8.27872,-1167.18530,224.10965,-8.19483,-1780.71704,-163.20644,43.30891
29,0.467,502.65829,-126.11473,1439.44592,-689.62073,-10.57653,1276.22607,-1429.70056,45.13951,1289.46216,223.83875,56.96298,41.99794,-465.86630,-183.76952,-8.20877,-1192.41357,223.70587,-8.00538,-1773.62854,-159.28378,48.77859
30,0.483,496.20804,-123.41133,1445.13110,-688.50812,-10.78335,1276.29688,-1429.13098,44.90122,1294.64856,242.86041,55.60677,32.16100,-491.70035,-184.07426,-7.96376,-1217.89587,223.15739,-7.80648,-1755.77075,-150.52167,49.16719
31,0.500,489.77591,-120.74991,1450.33789,-687.22528,-10.31818,1276.66138,-1428.32690,44.88176,1299.58191,255.51245,55.78988,23.58208,-517.31982,-184.41844,-7.90354,-1243.67041,222.87227,-7.40917,-1732.07568,-140.31934,51.46957
32,0.517,483.55432,-118.11136,1454.96008,-685.81647,-8.95394,1277.45386,-1427.32825,44.97800,1304.04248,257.46277,57.63764,14.75842,-543.20667,-184.63512,-7.89849,-1269.54944,222.76897,-6.98885,-1702.58716,-133.44543,57.12978
33,0.533,477.80737,-115.55431,1458.87830,-684.18481,-6.77106,1278.59119,-1426.05737,45.11796,1307.83179,245.88965,59.41247,7.60593,-569.29004,-184.93538,-7.69650,-1295.56104,222.41635,-6.80673,-1662.67822,-130.40250,59.76850
34,0.550,472.99869,-113.21071,1461.95728,-682.20026,-4.06762,1279.91650,-1424.38269,45.13874,1310.80920,224.14490,59.00829,5.37759,-594.58496,-184.60201,-7.49371,-1321.72180,221.85556,-6.76686,-1610.80298,-128.76781,57.65996
35,0.567,469.69366,-111.07310,1464.06860,-679.90039,-1.21686,1281.35974,-1422.26294,44.92840,1312.84033,198.19556,57.52446,5.66034,-619.83667,-183.97267,-7.60234,-1347.80957,221.45564,-6.65861,-1551.72534,-126.65471,54.89291
36,0.583,468.25797,-109.01060,1465.06409,-677.51312,1.46784,1282.93896,-1419.96423,44.55932,1313.81140,171.88928,57.02105,5.28903,-646.24609,-184.90794,-7.77222,-1373.79358,221.07843,-6.51456,-1488.39307,-125.28848,54.59241
37,0.600,468.65317,-107.00256,1464.77832,-675.40613,3.79018,1284.65295,-1418.05957,44.09253,1313.64233,146.19598,57.04671,4.55253,-672.46851,-186.46411,-7.47104,-1399.72961,220.73099,-6.40961,-1421.16870,-126.81200,57.07248
38,0.617,470.54248,-105.12476,1463.16467,-674.06299,5.66310,1286.39331,-1417.08630,43.51313,1312.22437,120.90387,56.90180,4.05387,-697.03894,-186.93652,-6.18215,-1425.42944,220.66974,-6.39955,-1352.28430,-130.92673,61.12252
