"Frame","Time","HeadX","HeadY","HeadZ","WithersX","WithersY","WithersZ","SacrumX","SacrumY","SacrumZ","HFLX","HFLY","HFLZ","HFRX","HFRY","HFRZ","HHLX","HHLY","HHLZ","HHRX","HHRY","HHRZ"
1,0.000,998.59528,-249.44542,1417.13647,-95.23624,-110.10724,1299.60730,-848.89703,-12.95483,1313.15466,602.11230,-33.74247,-1.21725,-181.03551,-283.25406,81.11539,-1269.31934,188.73352,59.45330,-531.31207,-187.75832,-9.65308
2,0.008,999.54297,-248.22679,1415.27271,-95.31422,-109.28970,1295.30090,-848.76019,-12.98526,1310.51331,577.87903,-32.04740,-1.48549,-156.48843,-288.18265,84.02217,-1249.76807,189.38902,55.41340,-555.35864,-186.34592,-9.97333
3,0.017,1000.55066,-247.08647,1413.38550,-95.52452,-108.57033,1291.02026,-848.74249,-12.94374,1307.78137,553.68976,-30.39732,-1.72983,-131.21252,-292.71500,86.28912,-1228.08972,189.81203,50.96703,-579.41223,-184.85280,-10.22863
4,0.025,1001.65466,-246.07762,1411.47742,-95.99508,-108.03609,1286.79749,-848.93658,-12.80122,1304.90991,529.54889,-28.76086,-1.99503,-104.87397,-296.61530,87.56040,-1203.07227,189.77322,46.18530,-603.44720,-183.26346,-10.41506
5,0.033,1002.84753,-245.22839,1409.58630,-96.83453,-107.74829,1282.67944,-849.38678,-12.57862,1301.89966,505.46338,-27.09886,-2.35786,-77.50157,-299.86310,87.85690,-1174.65454,189.13727,41.60915,-627.43115,-181.53543,-10.63892
6,0.042,1004.07196,-244.55234,1407.78210,-98.10915,-107.72786,1278.73010,-850.07770,-12.32151,1298.78015,481.47736,-25.42773,-2.81550,-49.22325,-302.63681,87.47717,-1143.59985,187.82716,37.80099,-651.35663,-179.63629,-11.01448
7,0.050,1005.23523,-244.04587,1406.15454,-99.82758,-107.96083,1275.02332,-850.94794,-12.07644,1295.58337,457.63525,-23.76302,-3.26703,-20.12891,-305.22992,86.80054,-1110.91382,185.73161,35.03664,-675.22974,-177.66556,-11.49640
8,0.058,1006.23877,-243.68687,1404.80005,-101.94379,-108.43713,1271.63123,-851.93079,-11.87919,1292.33081,433.93683,-22.07468,-3.62347,9.73486,-307.90399,86.10304,-1077.33362,182.78802,33.43069,-699.02710,-175.80380,-11.88616
9,0.067,1007.00574,-243.44815,1403.80957,-104.36752,-109.18510,1268.61365,-852.99402,-11.73806,1289.04578,410.34061,-20.32969,-3.88523,40.36989,-310.79785,85.47832,-1043.25659,179.03384,33.05403,-722.71570,-174.12709,-12.04149
10,0.075,1007.49182,-243.30605,1403.25903,-106.97266,-110.26241,1266.01660,-854.13916,-11.61728,1285.78516,386.79285,-18.54140,-4.10090,71.84131,-313.93158,84.85051,-1008.97693,174.49435,33.84005,-746.35828,-172.51588,-12.02199
