"Frame#","Time","HeadX","HeadY","HeadZ","WithersX","WithersY","WithersZ","SacrumX","SacrumY","SacrumZ","HFLX","HFLY","HFLZ","HFRX","HFRY","HFRZ","HHLX","HHLY","HHLZ","HHRX","HHRY","HHRZ"
1,0.000,912.78723,76.11869,1321.24878,-286.11572,22.28287,1285.72205,-1069.86243,0.94740,1300.69299,-130.98605,196.92125,-1.66927,409.46805,-77.73133,39.29755,-787.53204,156.42091,49.20967,-1186.66626,-111.22121,2.26808
2,0.008,912.18060,76.57734,1322.15051,-284.86627,22.76804,1290.06763,-1069.09802,2.27616,1305.66724,-155.75026,196.02968,-1.68649,448.42767,-74.64805,40.89264,-763.33636,152.98372,48.12621,-1211.29419,-111.89820,2.22588
3,0.017,911.67267,77.06850,1323.00012,-283.60294,23.24286,1294.40552,-1068.31519,3.51410,1310.53381,-180.58203,195.10834,-1.65074,485.98749,-71.30530,43.65521,-739.81787,150.29488,47.03312,-1235.75073,-112.69012,2.24295
4,0.025,911.33398,77.60388,1323.75293,-282.33490,23.67872,1298.70947,-1067.52368,4.56433,1315.19177,-205.53561,194.18109,-1.50024,520.39136,-67.91628,47.77973,-717.46997,148.84584,45.83494,-1259.69153,-113.65837,2.49992
5,0.033,911.19391,78.16702,1324.37524,-281.10025,24.04807,1302.92212,-1066.76001,5.32607,1319.53894,-230.57092,193.29083,-1.23302,549.61218,-64.94653,52.07127,-696.64484,148.84029,44.33989,-1282.74841,-114.98247,3.37881
6,0.042,911.24182,78.72777,1324.85083,-279.94736,24.35799,1306.96094,-1066.06799,5.73201,1323.46289,-255.57248,192.45354,-0.92720,571.93677,-62.59346,54.66949,-677.72333,150.26376,42.29852,-1304.81189,-117.04661,5.33000
7,0.050,911.43640,79.26750,1325.18579,-278.91122,24.64615,1310.72803,-1065.48682,5.78509,1326.85059,-280.36383,191.70341,-0.58773,586.56091,-60.74490,54.46729,-661.13483,152.92110,39.48405,-1325.81653,-120.20552,8.53502
8,0.058,911.71680,79.79633,1325.40356,-278.00537,24.93138,1314.11609,-1065.05286,5.56333,1329.61255,-304.58463,191.14803,0.06744,593.81488,-59.20872,51.69398,-647.20081,156.49307,35.79805,-1345.21838,-124.25832,12.60688
9,0.067,912.00934,80.34131,1325.53162,-277.22501,25.17764,1317.01672,-1064.78723,5.20136,1331.69360,-327.69443,190.92700,1.57194,595.05139,-57.70597,47.18985,-636.11005,160.76022,31.38062,-1362.39868,-128.14224,16.57982
10,0.075,912.24231,80.90518,1325.58704,-276.55093,25.31409,1319.33167,-1064.67407,4.83947,1333.06311,-349.07739,191.17007,4.42706,592.12653,-55.80416,41.60027,-628.01941,165.77693,26.62807,-1377.56812,-130.70784,19.52025
11,0.083,912.36700,81.44915,1325.56750,-275.95737,25.28085,1320.97314,-1064.67542,4.55516,1333.72449,-368.01654,192.02837,8.96165,586.50824,-53.05902,35.34594,-622.99994,171.68945,22.04511,-1391.42944,-131.76913,21.36059
12,0.092,912.36511,81.92963,1325.45349,-275.42838,25.06070,1321.86133,-1064.76331,4.34438,1333.73474,-383.76172,193.63951,15.42491,578.66559,-49.26947,28.87847,-620.97913,178.51213,18.05695,-1404.08765,-131.81056,22.81809
13,0.100,912.23981,82.33543,1325.21619,-274.96588,24.68803,1321.92957,-1064.90308,4.16827,1333.18689,-395.80551,195.89357,23.97774,568.27600,-44.61627,22.66519,-621.91278,186.03874,14.79624,-1414.75635,-131.17361,24.56549
14,0.108,912.00592,82.68068,1324.82617,-274.57474,24.22777,1321.14258,-1065.02991,4.00623,1332.17322,-403.97055,198.29517,34.45263,554.88300,-39.69763,17.13013,-626.00305,193.75467,11.93147,-1422.23169,-130.12773,26.73763
15,0.117,911.68713,82.97657,1324.25195,-274.24524,23.73757,1319.51025,-1065.07043,3.88619,1330.76208,-408.11945,200.32594,46.15499,538.24371,-35.50219,12.71065,-633.64862,200.91043,8.88420,-1425.52661,-129.21135,28.91110
16,0.125,911.31921,83.21288,1323.45959,-273.95898,23.25697,1317.09119,-1064.97852,3.86779,1328.99146,-407.86694,201.93275,57.94341,518.32672,-32.96989,9.70498,-645.10419,206.75314,5.40734,-1424.31396,-129.15071,30.36466
17,0.133,910.95612,83.35618,1322.41931,-273.70947,22.82505,1313.98999,-1064.75684,3.97167,1326.88391,-402.66992,203.51892,68.54973,495.54364,-32.27899,8.00732,-660.22314,210.74274,1.93871,-1418.85156,-130.60593,30.57597
18,0.142,910.66876,83.36707,1321.11169,-273.51517,22.48486,1310.34460,-1064.45898,4.13951,1324.46167,-392.24426,205.54671,77.00974,470.97861,-32.77550,7.19124,-678.59888,212.74931,-0.74612,-1409.47339,-133.88695,29.52899
19,0.150,910.52869,83.23022,1319.52649,-273.41568,22.27312,1306.30176,-1064.17200,4.25763,1321.74158,-376.97952,208.24925,83.05429,445.91214,-33.66576,6.83247,-699.73578,213.13206,-2.26940,-1396.19458,-138.63052,27.53269
20,0.158,910.58484,82.96607,1317.66919,-273.46207,22.21830,1301.99097,-1063.98926,4.20364,1318.73303,-357.97263,211.72691,87.21641,421.10983,-34.54762,6.64695,-722.88306,212.55566,-2.87559,-1378.87354,-143.82593,24.88823
21,0.167,910.84698,82.61343,1315.56934,-273.70844,22.34241,1297.51648,-1064.00195,3.91092,1315.44824,-336.58188,216.18779,90.48915,396.70337,-35.35083,6.44602,-747.04382,211.63545,-2.99487,-1357.84229,-148.41833,21.81006
22,0.175,911.28522,82.21710,1313.28162,-274.20480,22.64877,1292.96191,-1064.30383,3.41244,1311.91553,-313.85797,221.72696,93.68036,372.56308,-36.09202,6.13684,-771.40698,210.68634,-2.91753,-1334.43896,-151.68248,18.55258
