"Frame#","Time","HeadX","HeadY","HeadZ","WithersX","WithersY","WithersZ","SacrumX","SacrumY","SacrumZ","HFLX","HFLY","HFLZ","HFRX","HFRY","HFRZ","HHLX","HHLY","HHLZ","HHRX","HHRY","HHRZ"
1,0.000,871.35028,-6.94686,1415.86047,-308.25424,27.84990,1308.47388,-1055.38159,23.44329,1296.78748,591.00018,127.36223,19.12428,-362.97726,-105.39685,2.74654,-1398.43237,208.67351,22.92950,-560.34137,-98.18655,34.79042
2,0.017,872.95380,-6.59715,1413.02661,-306.45615,28.62239,1308.31726,-1053.01074,22.23508,1297.06812,571.01398,125.75587,7.47242,-391.70453,-109.98293,14.78848,-1419.47571,207.57382,34.93739,-560.52612,-108.71169,23.41788
3,0.033,874.60181,-6.46994,1409.45569,-304.62115,29.17475,1306.29224,-1050.70679,20.50105,1295.57397,534.13251,122.85760,4.73586,-401.65359,-121.43895,41.54782,-1429.05347,202.92917,43.48898,-570.54236,-119.43545,13.37115
4,0.050,876.69653,-6.44447,1404.84314,-302.90778,29.11944,1301.81128,-1048.93848,18.22045,1291.90356,484.40863,121.33862,5.43442,-384.35565,-136.35571,70.77049,-1423.32922,200.20052,46.35302,-595.61548,-126.77384,6.23431
5,0.067,879.84424,-6.30207,1399.01147,-301.65311,28.27366,1295.43799,-1048.17126,16.04819,1286.71680,433.80792,121.30334,4.52823,-346.97913,-148.51137,86.59686,-1404.21753,203.16391,42.26747,-635.56445,-128.54669,3.52468
6,0.083,884.30365,-6.11306,1391.79675,-301.15143,27.01201,1287.99292,-1048.48169,14.69695,1280.70923,385.18475,120.41775,3.37586,-300.02252,-156.57663,91.62662,-1371.29639,209.37854,33.49314,-683.91589,-128.47713,3.53557
7,0.100,889.61279,-6.12221,1383.49194,-301.65643,25.93998,1280.00830,-1049.61511,14.09958,1274.20020,336.79892,119.21272,2.66924,-248.52899,-161.63626,94.30951,-1326.85718,215.02315,25.56669,-733.11707,-129.13274,3.22415
8,0.117,894.80743,-6.44419,1374.97388,-303.80627,24.98456,1271.91455,-1051.30566,13.74294,1267.30286,288.93515,118.79950,2.12878,-194.55090,-164.97255,97.56487,-1279.19678,216.42191,22.03151,-781.36963,-129.44617,2.30861
9,0.133,898.95715,-7.09249,1367.43787,-308.41406,23.17971,1264.62317,-1053.59851,13.74738,1260.21240,241.69855,118.55427,1.78656,-137.46768,-167.66289,100.96683,-1230.20435,212.52689,22.50053,-829.34424,-130.17828,1.85865
10,0.150,901.53699,-8.05636,1362.07690,-315.03854,20.06363,1259.39294,-1056.64685,14.89574,1253.45142,194.14838,117.90937,1.66977,-75.86221,-169.28981,101.82393,-1175.41711,205.77492,25.55054,-877.01776,-131.63202,1.59983
11,0.167,902.46582,-9.15287,1359.59375,-321.44318,16.68564,1256.82080,-1060.14490,17.62201,1248.07080,146.21088,117.15704,1.65668,-9.97049,-169.01215,97.15845,-1116.25952,196.82822,29.59167,-924.80011,-132.06111,1.04085
12,0.183,901.86743,-10.07392,1359.94495,-325.51178,14.51462,1256.58545,-1063.23181,21.45341,1245.43799,98.23169,116.61784,1.64430,59.50284,-167.05841,87.55139,-1057.37451,183.59048,33.08472,-972.78821,-132.08197,0.97103
13,0.200,899.94971,-10.71596,1362.62537,-327.23795,14.11626,1258.39001,-1065.13086,25.49405,1246.41101,49.77441,116.01556,1.60578,132.32803,-164.01309,75.98625,-998.34198,167.13136,36.76357,-1021.30615,-132.86089,1.43236
14,0.217,897.12170,-11.25060,1366.97705,-328.08627,15.06398,1262.41711,-1065.75256,29.21143,1250.77954,0.44659,115.23301,1.62973,208.56876,-159.95529,64.41411,-937.38892,150.92937,41.29374,-1070.73657,-133.52676,1.76974
15,0.233,893.94305,-11.87097,1372.33984,-328.88022,16.46738,1268.71887,-1065.51392,32.58640,1257.67932,-49.57404,114.40419,1.91112,287.02182,-153.66904,53.10556,-876.38812,136.19698,44.85999,-1120.20898,-134.19208,2.58293
16,0.250,890.95923,-12.56758,1378.18042,-329.03418,17.67577,1276.79224,-1064.74207,35.53548,1266.26465,-100.02136,113.43619,2.30071,365.29788,-143.82896,42.36859,-817.43097,123.58267,46.89777,-1169.72559,-135.53375,3.71902
17,0.267,888.65179,-13.10759,1384.02649,-327.59033,18.60220,1285.82983,-1063.46716,37.55155,1275.79480,-150.64813,112.53528,2.67941,442.77200,-132.77345,35.94510,-760.65472,114.45923,48.68218,-1220.28210,-136.80728,4.16849
18,0.283,887.31177,-13.28740,1389.30640,-324.40753,19.39379,1295.00940,-1061.83813,38.29815,1285.19678,-201.49969,111.84927,3.08964,514.46143,-125.05703,37.07685,-707.49164,109.77086,49.91933,-1269.70654,-138.27794,6.25982
19,0.300,886.82867,-13.13851,1393.48755,-320.37573,20.06197,1303.50208,-1060.45447,38.17403,1292.99341,-252.00122,111.81666,3.89634,564.52673,-121.05606,38.81498,-660.96399,110.45374,48.67753,-1312.83862,-141.64095,12.86392
20,0.317,886.69958,-12.76170,1396.36584,-316.79117,20.33665,1310.45679,-1059.75378,37.75714,1298.19678,-298.70300,113.69066,6.89495,582.97717,-117.76782,31.14311,-623.31641,117.08575,42.83856,-1346.71997,-147.21321,21.82243
21,0.333,886.34930,-12.19611,1398.05176,-314.45770,19.80901,1315.13635,-1059.32520,37.28192,1300.94824,-337.65204,117.44722,13.43706,579.92285,-113.89768,15.37165,-595.93054,129.10606,31.85906,-1373.67798,-153.61606,31.19627
22,0.350,885.44916,-11.60947,1398.70618,-313.14828,18.40426,1317.03162,-1058.41589,37.05622,1301.86060,-367.05554,122.11093,25.07069,566.20837,-109.73992,1.26323,-579.86469,144.87209,18.58984,-1396.25061,-158.82816,42.12995
23,0.367,884.00903,-11.32620,1398.42139,-311.97894,16.59002,1315.91760,-1056.77405,37.58237,1301.23389,-381.18243,127.44539,45.44814,537.75720,-106.25574,-4.87682,-576.26416,162.50027,6.78701,-1408.52283,-161.28769,51.58994
24,0.383,882.42297,-11.54214,1397.24292,-310.40802,15.02103,1311.96082,-1054.82690,39.03521,1299.07153,-372.31232,132.93697,71.18097,493.08749,-104.72712,-5.74150,-586.98297,179.30980,-1.94012,-1403.62427,-161.66853,54.00771
25,0.400,881.44678,-12.19004,1394.99768,-308.82318,14.18786,1305.70520,-1053.45520,40.97873,1295.18152,-342.49548,138.44357,91.56057,442.78470,-104.87766,-6.23706,-613.72565,190.57512,-6.85054,-1385.38135,-163.29184,50.44438
26,0.417,881.78033,-13.00972,1391.26929,-308.14194,14.32969,1297.86621,-1053.50208,42.59113,1289.25562,-299.80774,144.16257,103.49438,393.87216,-105.44894,-6.86206,-654.55804,194.07425,-8.24668,-1358.62671,-168.52335,45.89788
27,0.433,883.50909,-13.70987,1385.96155,-308.89282,15.24529,1289.08203,-1055.22632,43.36553,1281.40637,-249.49622,148.47734,110.59626,345.51266,-106.10252,-7.38380,-702.41260,193.47559,-8.43072,-1320.39990,-175.16640,40.84794
28,0.450,886.05579,-14.20608,1379.69128,-310.94492,16.34625,1279.83398,-1058.10242,43.52653,1272.53076,-194.99670,149.84692,114.30112,297.46945,-106.84006,-8.12843,-750.90027,192.62878,-8.98857,-1268.64502,-179.69919,33.67955
29,0.467,888.57593,-14.56108,1373.44958,-314.31836,17.67481,1270.71143,-1061.09448,43.44126,1263.87256,-137.69879,148.96759,115.68031,250.12234,-107.42781,-8.50831,-798.72717,191.89709,-9.65504,-1208.87036,-180.85442,27.20601
30,0.483,890.31451,-14.69265,1368.23328,-319.44519,20.34041,1262.63232,-1063.35962,42.87230,1256.29395,-76.32568,147.12292,115.84054,202.62167,-107.98331,-8.55354,-846.33099,191.17233,-10.07723,-1147.98779,-178.53491,26.29278
31,0.500,890.83014,-14.43572,1364.96423,-325.62805,24.53522,1256.51733,-1064.90698,41.12419,1250.17566,-9.81506,145.03868,113.90681,154.82309,-108.73595,-8.66960,-893.78540,190.70416,-10.42756,-1087.23926,-172.86983,30.72058
32,0.517,890.07007,-13.79758,1364.19922,-330.37390,28.18389,1252.86035,-1066.44751,37.95040,1245.97681,61.41406,142.58557,108.64587,106.97244,-109.43758,-8.84851,-941.68079,190.02553,-10.59822,-1025.46558,-163.86789,35.71982
33,0.533,888.25775,-12.95460,1365.75977,-331.95517,29.22735,1251.82666,-1068.35852,33.97283,1244.45227,136.59006,139.17883,100.24553,58.73904,-109.80878,-9.05286,-990.23206,189.30244,-10.21671,-963.91577,-151.72357,39.17601
