"Frame#","Time","HeadX","HeadY","HeadZ","WithersX","WithersY","WithersZ","SacrumX","SacrumY","SacrumZ","HFLX","HFLY","HFLZ","HFRX","HFRY","HFRZ","HHLX","HHLY","HHLZ","HHRX","HHRY","HHRZ"
1,0.000,726.41534,-83.09896,1458.24402,-426.19333,-42.96568,1290.22375,-1170.63757,-23.74895,1306.10461,-488.37149,94.29609,13.74949,334.93317,-148.31575,-7.57685,-1061.44812,120.60511,38.08273,-1167.33691,-225.21594,4.50362
2,0.017,730.34717,-85.15816,1454.95361,-427.92380,-43.01740,1292.13892,-1172.80579,-24.71824,1303.08142,-499.16376,98.11414,20.40372,309.76721,-148.88377,-7.54426,-993.79755,121.16535,37.69012,-1192.48181,-225.99109,4.89657
3,0.033,734.84497,-87.08422,1451.01978,-430.06784,-42.75785,1293.39124,-1175.48376,-25.49470,1299.46289,-502.72772,103.42170,26.37772,285.16882,-149.27881,-7.80410,-928.61688,122.95158,36.51273,-1217.32898,-226.30620,4.91324
4,0.050,739.93036,-88.74570,1446.30408,-432.74689,-42.05874,1293.77148,-1178.83850,-26.02159,1294.95264,-497.20792,110.45134,34.63894,260.86090,-149.64629,-7.84188,-865.83069,126.40450,34.16278,-1242.10706,-226.05743,4.81450
5,0.067,745.22247,-90.15454,1441.22839,-435.79410,-41.02524,1293.43213,-1182.66162,-26.31418,1289.53015,-479.39053,118.43653,46.88558,236.57240,-150.03310,-7.67561,-805.13367,131.40520,30.72714,-1266.55884,-226.24858,5.00350
6,0.083,750.44098,-91.36228,1436.38586,-438.91693,-39.84160,1292.58264,-1186.48962,-26.22687,1283.33057,-447.52151,126.33418,56.82697,212.48889,-150.33331,-7.71425,-747.34467,138.07709,26.77170,-1290.51074,-227.35457,5.26786
7,0.100,755.60352,-92.29513,1432.06128,-441.88263,-38.58743,1291.37671,-1189.80200,-25.38211,1276.53821,-406.29791,132.67598,58.81800,188.45267,-150.74190,-7.71692,-693.78491,146.90221,22.96172,-1314.54834,-228.25752,5.30723
8,0.117,760.88684,-92.87742,1428.12463,-444.61264,-37.28413,1289.92163,-1192.29529,-23.46900,1269.27869,-360.60400,136.44803,56.54620,164.12352,-151.28249,-7.64365,-646.52051,157.70940,19.96558,-1338.81445,-228.65511,5.38754
9,0.133,766.45123,-93.08831,1424.32544,-447.11783,-36.05437,1288.28882,-1193.98535,-20.56610,1261.57837,-312.94031,138.08815,55.21505,139.65047,-151.75371,-7.76628,-608.22034,169.23303,18.20845,-1363.26001,-229.17026,5.51782
10,0.150,772.28540,-92.86442,1420.53979,-449.45316,-35.03806,1286.55298,-1195.02722,-17.07227,1253.45215,-265.06915,138.39534,55.36190,114.99585,-152.33722,-7.73078,-582.91956,180.68661,16.57478,-1388.34290,-229.51593,5.32445
11,0.167,778.14679,-92.16124,1416.77551,-451.73352,-34.13084,1284.88782,-1195.50488,-13.32307,1245.00977,-216.51059,137.61685,55.64716,89.70262,-153.01659,-7.43340,-574.73718,190.99771,11.72383,-1413.97192,-229.65796,5.13302
12,0.183,783.73022,-91.05038,1413.14185,-453.96048,-33.12818,1283.54150,-1195.46838,-9.27710,1236.45569,-165.35757,135.85741,55.13366,63.70105,-153.38069,-7.44823,-581.76465,197.03619,2.35912,-1439.94543,-230.02652,5.27791
