"Frame","Time","HeadX","HeadY","HeadZ","WithersX","WithersY","WithersZ","SacrumX","SacrumY","SacrumZ","HFLX","HFLY","HFLZ","HFRX","HFRY","HFRZ","HHLX","HHLY","HHLZ","HHRX","HHRY","HHRZ"
25,0.200,942.34448,-185.09381,1572.19409,-41.11886,-3.35567,1317.87305,-797.22565,46.75932,1320.27502,-121.48474,-145.46829,70.32762,768.98682,87.86121,6.61012,-1219.37622,262.71652,53.24084,-356.61462,-161.73814,6.23481
26,0.208,938.98132,-186.77805,1574.46216,-41.09582,-2.25679,1315.74731,-797.20331,45.69044,1319.06213,-108.26233,-149.20631,83.07223,751.00977,88.99834,3.08319,-1216.70190,260.67313,55.05511,-365.28442,-166.83218,2.45004
27,0.217,935.90503,-188.31084,1576.17346,-41.16398,-1.01119,1312.95923,-797.04919,44.37836,1317.47791,-90.34760,-153.80305,92.57772,730.36157,89.91631,0.98476,-1210.80750,258.92188,55.43176,-378.83902,-169.41238,-2.04782
28,0.225,933.19604,-189.74664,1577.32385,-41.31500,0.33259,1309.60156,-796.87708,42.94344,1315.54126,-69.16202,-158.80153,99.29347,707.60583,90.93580,-0.05933,-1201.72388,257.72086,54.20761,-397.07013,-169.87689,-6.11258
29,0.233,930.92242,-191.16513,1577.93005,-41.55810,1.71370,1305.77258,-796.81268,41.51424,1313.27637,-45.71225,-163.66983,104.02022,683.34503,92.33247,-0.54788,-1189.12207,257.18289,51.23841,-418.99997,-168.99864,-8.66472
30,0.242,929.13428,-192.65952,1578.02722,-41.92154,3.05513,1301.56763,-796.94934,40.20654,1310.72095,-20.77359,-167.96964,107.43262,658.39520,94.05618,-0.82269,-1172.59790,257.16428,46.84655,-443.14789,-167.49176,-9.68312
31,0.250,927.85455,-194.31366,1577.66138,-42.44686,4.27140,1297.07935,-797.33380,39.08852,1307.91675,4.92084,-171.51123,109.94946,633.42065,95.85828,-1.06702,-1152.36816,257.24625,41.92078,-468.13150,-165.79745,-9.86786
32,0.258,927.06757,-196.18320,1576.88428,-43.17747,5.29908,1292.40027,-797.97174,38.17250,1304.88208,30.70627,-174.34967,111.79559,608.69818,97.55211,-1.35707,-1129.55359,256.88617,37.60335,-493.09470,-164.12276,-9.82287
33,0.267,926.71289,-198.28506,1575.75769,-44.15161,6.11900,1287.62903,-798.83417,37.44052,1301.60083,56.20618,-176.65140,113.14697,584.23071,99.10484,-1.67880,-1105.60339,255.66505,34.67792,-517.73315,-162.49606,-9.83636
34,0.275,926.68640,-200.59119,1574.36060,-45.39996,6.74595,1282.87524,-799.86749,36.85652,1298.08118,81.47162,-178.59813,114.23431,559.92200,100.56969,-1.99734,-1081.33960,253.38354,33.11710,-542.07538,-160.85463,-10.02050
