"Frame#","Time","HeadX","HeadY","HeadZ","WithersX","WithersY","WithersZ","SacrumX","SacrumY","SacrumZ","HFLX","HFLY","HFLZ","HFRX","HFRY","HFRZ","HHLX","HHLY","HHLZ","HHRX","HHRY","HHRZ"
1,0.000,862.82709,37.61855,1387.82056,-289.57248,26.41949,1318.31934,-1083.15308,1.74340,1329.13623,460.54214,185.68636,2.41658,-405.82889,-99.28523,47.58667,-1473.74756,218.80791,44.87056,-626.18597,-110.67933,15.91556
2,0.008,862.47058,37.80356,1387.06177,-289.16345,26.41382,1315.20898,-1082.26453,0.19226,1327.15503,435.94507,185.02484,1.17745,-393.32922,-101.34278,55.61913,-1468.28918,217.67392,44.99580,-642.01080,-114.86554,10.28707
3,0.017,862.20996,38.01060,1386.18481,-288.87112,26.35046,1311.95837,-1081.53259,-1.19150,1325.02417,411.41226,184.43019,0.34381,-378.51151,-103.77610,62.83450,-1460.51416,217.32564,44.24175,-659.59863,-117.78645,5.81492
4,0.025,862.12708,38.24265,1385.09155,-288.78662,26.16921,1308.46741,-1081.06165,-2.31583,1322.60486,386.98071,183.85699,-0.01826,-360.26657,-106.67566,68.76053,-1448.91162,218.07121,42.16914,-679.84558,-119.17012,3.19997
5,0.033,862.26440,38.47236,1383.72449,-288.96555,25.82096,1304.69678,-1080.89929,-3.17311,1319.79211,362.65002,183.22060,-0.15178,-338.82843,-109.78816,73.29514,-1432.95276,219.75696,38.89395,-702.51105,-119.65199,2.26288
6,0.042,862.60529,38.64677,1382.08179,-289.43225,25.28575,1300.66345,-1081.05603,-3.80263,1316.53931,338.42902,182.49013,-0.31977,-315.11383,-112.70210,76.52553,-1412.92590,222.03804,34.91533,-726.50909,-119.92146,2.20179
7,0.050,863.08087,38.70405,1380.21619,-290.19037,24.58185,1296.42212,-1081.51794,-4.25919,1312.86633,314.36334,181.67874,-0.60399,-290.10321,-115.11613,78.61789,-1389.89087,224.42058,30.87428,-750.70447,-120.23682,2.26694
8,0.058,863.59680,38.58745,1378.22021,-291.24130,23.76019,1292.04553,-1082.24988,-4.59325,1308.85828,290.49097,180.82211,-0.91840,-264.50964,-116.95973,79.81233,-1365.47510,226.20903,27.40374,-774.59906,-120.61637,2.07046
9,0.067,864.06018,38.25398,1376.20886,-292.60794,22.89186,1287.61365,-1083.19177,-4.82676,1304.65186,266.79807,179.95705,-1.15494,-238.61098,-118.33191,80.40367,-1341.05505,226.75375,25.00409,-798.29858,-121.12550,1.59575
10,0.075,864.39404,37.68664,1374.30188,-294.34860,22.05017,1283.21167,-1084.26514,-4.94443,1300.40369,243.20711,179.09962,-1.31014,-212.27760,-119.39959,80.66061,-1316.80615,225.82155,23.88486,-822.19824,-122.05728,1.22663
11,0.083,864.54095,36.90277,1372.61182,-296.53891,21.26894,1278.93018,-1085.39465,-4.94229,1296.24487,219.62108,178.27783,-1.44703,-185.22183,-120.30820,80.73058,-1291.74365,223.68587,23.98976,-846.68762,-123.77531,1.54686
12,0.092,864.46246,35.94470,1371.23486,-299.20322,20.49871,1274.87122,-1086.52283,-4.89444,1292.25659,196.01700,177.53682,-1.58117,-157.24004,-121.12759,80.60307,-1264.84753,220.89635,25.17414,-871.67303,-125.94789,2.69353
13,0.100,864.13342,34.86386,1370.24658,-302.21741,19.62041,1271.15344,-1087.61206,-4.91479,1288.47510,172.46158,176.87473,-1.69925,-128.26151,-121.83939,80.12390,-1236.01917,217.90176,27.20635,-896.55054,-127.66496,4.05433
14,0.108,863.53613,33.71497,1369.70398,-305.27524,18.52277,1267.89233,-1088.64038,-5.01129,1284.92139,149.01727,176.22963,-1.83547,-98.28107,-122.31381,79.04568,-1205.96545,214.75758,29.67909,-920.84241,-128.78304,4.87558
15,0.117,862.66400,32.55264,1369.65527,-307.99896,17.17677,1265.16064,-1089.58032,-4.99682,1281.64392,125.67807,175.55060,-2.03387,-67.25726,-122.37698,77.16510,-1175.46985,211.14957,32.13076,-944.37054,-129.78204,4.86457
16,0.125,861.52740,31.41617,1370.14038,-310.11823,15.64818,1262.98022,-1090.38660,-4.56531,1278.75635,102.41843,174.84369,-2.26891,-35.04178,-122.01883,74.45261,-1144.93848,206.67747,34.24771,-966.99835,-130.33388,4.07003
17,0.133,860.14673,30.31493,1371.17517,-311.56262,14.07251,1261.35681,-1091.01184,-3.49013,1276.45044,79.23822,174.14587,-2.44996,-1.47827,-121.41002,71.02403,-1114.40930,201.10216,35.91458,-988.80139,-129.66208,2.67226
18,0.142,858.54413,29.23582,1372.73950,-312.43552,12.63743,1260.31628,-1091.42493,-1.79597,1274.95605,56.10471,173.52263,-2.48722,33.41299,-120.63628,67.06147,-1083.69238,194.46584,37.20730,-1010.42651,-128.24774,1.24579
19,0.150,856.74597,28.16561,1374.78577,-312.92584,11.53696,1259.90405,-1091.62805,0.25234,1274.45728,32.93207,173.09541,-2.34274,69.43585,-119.58313,62.80823,-1052.55200,187.10785,38.36108,-1032.90442,-127.86111,0.74296
20,0.158,854.78113,27.10827,1377.25586,-313.21243,10.88775,1260.15540,-1091.67334,2.32998,1275.01880,9.64578,172.89380,-2.07524,106.39383,-118.10011,58.52768,-1020.98615,179.52957,39.60015,-1056.73596,-129.51535,1.61114
21,0.167,852.67908,26.07825,1380.09387,-313.40637,10.68920,1261.08044,-1091.65210,4.22639,1276.56262,-13.80566,172.66675,-1.84983,144.17410,-116.13521,54.41725,-989.36285,172.21672,40.96106,-1081.25098,-132.18948,3.19286
22,0.175,850.47949,25.07369,1383.25073,-313.53406,10.84904,1262.66345,-1091.64600,5.89492,1278.91101,-37.42575,172.14426,-1.76302,182.64957,-113.72092,50.61673,-958.18225,165.49678,42.28504,-1105.31506,-134.09451,4.42010
23,0.183,848.23370,24.07595,1386.67773,-313.54218,11.23250,1264.86499,-1091.67798,7.39905,1281.86951,-61.14816,171.38780,-1.69805,221.58517,-110.94387,47.26465,-927.72241,159.43224,43.35524,-1128.55798,-134.56209,4.84104
24,0.192,845.99670,23.07995,1390.31567,-313.32935,11.71287,1267.63049,-1091.69556,8.82046,1285.30188,-84.95609,170.52898,-1.55208,260.67642,-107.92735,44.47245,-897.98535,153.91748,44.06314,-1151.41992,-134.04434,4.62249
25,0.200,843.82971,22.10043,1394.09363,-312.80115,12.20024,1270.90295,-1091.59033,10.18773,1289.16064,-108.90182,169.47739,-1.43329,299.63406,-104.72130,42.27307,-868.91229,148.88165,44.41875,-1174.30908,-133.01373,3.98023
26,0.208,841.80762,21.14831,1397.93774,-311.91705,12.64579,1274.62720,-1091.25696,11.47085,1293.45105,-132.96170,168.19797,-1.43146,338.26102,-101.17462,40.68025,-840.55713,144.33154,44.44455,-1197.39038,-131.85478,3.15421
27,0.217,840.00989,20.22174,1401.77930,-310.69785,13.03598,1278.73999,-1090.64941,12.63505,1298.14880,-157.03427,166.92575,-1.43148,376.53751,-97.06357,39.84458,-813.10278,140.38492,44.20158,-1220.83618,-131.13853,2.50887
28,0.225,838.49823,19.31995,1405.55847,-309.20300,13.37427,1283.16223,-1089.79431,13.69471,1303.15442,-181.06656,165.92679,-1.30800,414.54196,-92.41734,40.18543,-786.75415,137.31345,43.82949,-1244.73218,-131.15764,2.22778
29,0.233,837.30841,18.46035,1409.22791,-307.50906,13.66144,1287.80225,-1088.77417,14.69833,1308.30334,-205.11795,165.22585,-1.10543,451.99191,-87.66520,42.30270,-761.60822,135.41422,43.43279,-1268.92810,-131.80879,2.33275
