"Frame","Time","HeadX","HeadY","HeadZ","WithersX","WithersY","WithersZ","SacrumX","SacrumY","SacrumZ","HFLX","HFLY","HFLZ","HFRX","HFRY","HFRZ","HHLX","HHLY","HHLZ","HHRX","HHRY","HHRZ"
1,0.000,965.83502,-21.69057,1325.79065,-194.19362,-33.36349,1292.76917,-944.81024,93.78934,1309.61633,401.31204,54.75237,-2.97795,-296.95715,-236.60391,46.85235,-1129.44727,271.90894,-4.58342,-615.41669,-151.22247,55.82670
2,0.008,968.48816,-21.33697,1321.40759,-196.81306,-32.95025,1292.96960,-947.62286,93.73283,1306.79846,387.95810,55.58833,-3.05689,-272.32697,-239.67047,46.27171,-1143.15381,272.05585,-4.71601,-588.06830,-156.24710,53.27482
3,0.017,971.16559,-21.00254,1316.96033,-199.40918,-32.57608,1293.14282,-950.32806,93.71873,1303.80457,374.50784,56.51991,-3.13231,-246.98367,-242.37721,45.49652,-1156.76794,272.48859,-4.64913,-561.21643,-161.18329,50.84314
4,0.025,973.87292,-20.68864,1312.40112,-201.95827,-32.27364,1293.27466,-952.83691,93.73750,1300.57861,360.97876,57.53378,-3.19805,-220.71048,-244.36192,44.45952,-1170.20959,273.44992,-4.33241,-535.30920,-165.83401,48.56942
5,0.033,976.59924,-20.39036,1307.71399,-204.43260,-32.06136,1293.36572,-955.09564,93.74543,1297.17163,347.46329,58.57874,-3.27199,-193.79648,-245.34810,43.22978,-1183.56787,274.80273,-3.94622,-510.74728,-169.92711,46.40652
6,0.042,979.32697,-20.11059,1302.91467,-206.80597,-31.93563,1293.42444,-957.09680,93.69878,1293.64746,334.00879,59.63766,-3.37087,-166.66054,-245.27156,41.99303,-1196.99475,276.18243,-3.69213,-487.91327,-173.22319,44.28097
7,0.050,982.03375,-19.86101,1298.03601,-209.06360,-31.87650,1293.45898,-958.86761,93.56422,1290.03040,320.58127,60.69814,-3.46519,-139.53603,-244.31747,41.02577,-1210.57288,277.40469,-3.58729,-467.19040,-175.57442,42.11570
8,0.058,984.69550,-19.66117,1293.12012,-211.19678,-31.85408,1293.47900,-960.43719,93.32954,1286.31763,307.11505,61.75357,-3.49779,-112.42552,-242.79698,40.58517,-1224.34375,278.46393,-3.55883,-448.93378,-176.89185,39.80754
9,0.067,987.29254,-19.53237,1288.21973,-213.19185,-31.82367,1293.50159,-961.81152,93.00941,1282.50732,293.55688,62.82413,-3.44165,-85.21021,-240.96490,40.76663,-1238.25232,279.41977,-3.57239,-433.42050,-177.13191,37.24154
10,0.075,989.81122,-19.48812,1283.39514,-215.03188,-31.72913,1293.55383,-962.97156,92.62980,1278.61279,279.88843,63.90601,-3.32208,-57.74161,-238.93768,41.46433,-1252.20325,280.37909,-3.61747,-420.85101,-176.33694,34.31991
