"Frame#","Time","HeadX","HeadY","HeadZ","WithersX","WithersY","WithersZ","SacrumX","SacrumY","SacrumZ","HFLX","HFLY","HFLZ","HFRX","HFRY","HFRZ","HHLX","HHLY","HHLZ","HHRX","HHRY","HHRZ"
1,0.000,477.36288,-151.45175,1436.39575,-610.13367,72.26625,1275.79578,-1398.86707,23.70306,1294.83923,-38.74872,161.55507,-1.65253,-516.65448,-119.44060,34.61644,-1638.54138,281.47360,0.68618,-844.51941,-130.88217,36.47975
2,0.008,480.41199,-151.29732,1433.22351,-612.18005,71.57973,1275.25806,-1400.47449,23.70812,1289.69336,-51.28426,161.54878,-1.37881,-491.16266,-123.13630,32.50818,-1651.92090,280.85599,0.44621,-832.60205,-131.92551,33.42159
3,0.017,483.48383,-151.31853,1430.23560,-614.24982,70.87620,1274.80298,-1402.04346,23.49039,1284.49805,-64.13416,161.44417,-1.21149,-465.55914,-126.82730,30.66999,-1665.36890,280.23938,0.22828,-822.36163,-133.08353,30.56785
4,0.025,486.57794,-151.63995,1427.56006,-616.34729,70.13974,1274.49121,-1403.52380,22.93287,1279.23083,-77.35416,161.21788,-1.18215,-439.70184,-130.43074,29.21621,-1678.84827,279.75259,0.12458,-814.84393,-134.08194,27.83095
5,0.033,489.66895,-152.31123,1425.26404,-618.45264,69.36260,1274.35022,-1404.87280,22.03237,1273.90869,-90.79576,160.94536,-1.24988,-413.53979,-133.70729,28.03019,-1692.30286,279.47809,0.17314,-810.53369,-134.56944,24.75547
6,0.042,492.71957,-153.31316,1423.37585,-620.53125,68.54803,1274.37854,-1406.08008,20.85301,1268.58423,-104.30333,160.67004,-1.34729,-387.12433,-136.34344,26.91174,-1705.74255,279.27975,0.28946,-809.64172,-134.55661,20.81915
7,0.050,495.69977,-154.58910,1421.90247,-622.54980,67.71061,1274.55920,-1407.15540,19.48417,1263.33691,-117.78639,160.32722,-1.39498,-360.52048,-138.24640,25.83802,-1719.18958,278.90491,0.35353,-812.09436,-134.34146,16.03186
8,0.058,498.59039,-156.07462,1420.83655,-624.48895,66.87608,1274.86926,-1408.08972,18.01015,1258.28027,-131.18637,159.88152,-1.33316,-333.86395,-139.65393,25.04786,-1732.63818,278.30652,0.30867,-817.55292,-134.13570,11.25638
9,0.067,501.36099,-157.69873,1420.15649,-626.34424,66.06997,1275.28320,-1408.83411,16.49775,1253.57056,-144.52950,159.40607,-1.21433,-307.39722,-140.88745,24.86213,-1746.10205,277.77792,0.21359,-825.77002,-133.97620,7.66201
10,0.075,503.95746,-159.38333,1419.82727,-628.11322,65.29983,1275.76917,-1409.31140,14.99876,1249.39014,-157.97139,158.98842,-1.17930,-281.33417,-142.11684,25.43363,-1759.62000,277.55869,0.18129,-836.62598,-133.96341,5.78418
11,0.083,506.32761,-161.07111,1419.81482,-629.79535,64.55312,1276.28040,-1409.45068,13.53809,1245.91675,-171.63138,158.63853,-1.26598,-255.75241,-143.32684,26.67652,-1773.19165,277.46292,0.25125,-849.55243,-134.22937,5.27902
12,0.092,508.44989,-162.74516,1420.11292,-631.39893,63.81670,1276.75391,-1409.22949,12.09468,1243.29614,-185.44975,158.26225,-1.34899,-230.61423,-144.38187,28.37561,-1786.73669,277.14087,0.41135,-863.44379,-134.65128,5.42550
13,0.100,510.31778,-164.40288,1420.74902,-632.92584,63.07783,1277.11340,-1408.69885,10.64740,1241.62573,-199.25029,157.75899,-1.31811,-205.82684,-145.17001,30.31065,-1800.07544,276.54462,0.76227,-877.34918,-134.91457,5.55268
14,0.108,511.90527,-166.01888,1421.76538,-634.35101,62.29013,1277.28455,-1407.97498,9.26662,1240.93872,-212.87547,157.15833,-1.20603,-181.26202,-145.74240,32.34700,-1812.95496,275.92462,1.53143,-890.87219,-134.85350,5.18461
15,0.117,513.15759,-167.54080,1423.19556,-635.63123,61.38223,1277.22107,-1407.20203,8.11848,1241.19019,-226.33693,156.54784,-1.12591,-156.76001,-146.24907,34.45488,-1825.18237,275.44724,2.86363,-903.95416,-134.55342,4.20738
16,0.125,514.00244,-168.91881,1425.04529,-636.73022,60.32708,1276.92761,-1406.51672,7.40736,1242.26111,-239.78308,155.95497,-1.14749,-132.17673,-146.76334,36.60152,-1836.73767,275.03635,4.72212,-916.65863,-134.21288,2.92239
17,0.133,514.36993,-170.13751,1427.28528,-637.63678,59.16932,1276.46362,-1406.03027,7.35882,1243.98804,-253.25488,155.35667,-1.23408,-107.43436,-147.24385,38.66063,-1847.73389,274.63913,7.03276,-929.20197,-134.05254,1.79134
18,0.142,514.22192,-171.21092,1429.87256,-638.36108,57.98590,1275.92651,-1405.81934,8.14373,1246.20532,-266.65674,154.70406,-1.33111,-82.49835,-147.66663,40.50527,-1858.29517,274.37006,9.75191,-941.86542,-134.21112,1.09149
19,0.150,513.57611,-172.15636,1432.78174,-638.91785,56.84298,1275.41992,-1405.91064,9.70654,1248.78320,-279.89581,154.10219,-1.42116,-57.30481,-148.13234,42.13005,-1868.47729,274.24750,12.78736,-954.75677,-134.63402,0.76528
20,0.158,512.49243,-172.98659,1436.00610,-639.32129,55.76311,1275.01868,-1406.26611,11.69620,1251.63159,-292.85971,153.95409,-1.40151,-31.76614,-148.72227,43.59407,-1878.25024,274.15369,16.04959,-967.82776,-135.23174,0.61206
21,0.167,511.03067,-173.71255,1439.53577,-639.59033,54.71786,1274.75500,-1406.80652,13.58615,1254.66846,-305.48145,154.50098,-1.15213,-5.87506,-149.33554,44.92971,-1887.54932,274.09158,19.52222,-981.11639,-136.16093,0.61460
22,0.175,509.22635,-174.33786,1443.34961,-639.74890,53.66727,1274.63562,-1407.46411,14.85564,1257.79993,-317.97974,155.25044,-0.78177,20.24310,-149.82776,46.19431,-1896.36670,274.08066,23.17737,-994.80389,-137.73579,0.98650
23,0.183,507.09653,-174.85292,1447.41968,-639.82062,52.59465,1274.66431,-1408.20911,15.14432,1260.93823,-330.76004,155.34746,-0.54929,46.39691,-150.16571,47.53357,-1904.70776,274.01648,26.99713,-1008.94763,-139.94701,1.89816
24,0.192,504.65735,-175.24693,1451.70532,-639.82178,51.49706,1274.84155,-1409.02820,14.38515,1264.03479,-343.99100,154.48131,-0.57761,72.39355,-150.38548,49.15512,-1912.36084,273.80356,31.04980,-1023.18561,-142.05316,3.17411
25,0.200,501.93900,-175.52626,1456.14514,-639.75281,50.36948,1275.15833,-1409.89294,12.84155,1267.10376,-357.53015,153.02707,-0.79345,97.94604,-150.53384,51.22051,-1918.70752,273.32507,35.34207,-1036.94739,-142.99040,4.26084
26,0.208,498.97516,-175.70824,1460.67102,-639.60022,49.21228,1275.60547,-1410.75500,10.96699,1270.20923,-371.23889,151.46674,-1.05940,122.55219,-150.65529,53.65290,-1922.73657,272.28772,39.45264,-1050.13293,-142.67540,4.66572
27,0.217,495.77625,-175.78394,1465.23572,-639.35297,48.03961,1276.17993,-1411.56616,9.19337,1273.42407,-385.09366,150.07755,-1.28266,145.60797,-150.76817,56.04425,-1923.30774,270.08023,42.22622,-1063.20752,-142.18605,4.53009
28,0.225,492.32657,-175.70140,1469.82056,-639.01654,46.86607,1276.86963,-1412.29321,7.80704,1276.79675,-399.01123,148.96866,-1.43663,166.63684,-150.81685,57.80571,-1919.62598,265.87970,42.35139,-1076.49451,-142.19530,4.45199
29,0.233,488.62000,-175.42163,1474.41077,-638.61310,45.68985,1277.64111,-1412.92249,6.93484,1280.34338,-412.82761,148.07785,-1.53140,185.36536,-150.65892,58.42442,-1911.59668,259.38141,39.75986,-1089.93787,-142.45619,4.68640
30,0.242,484.69489,-174.96896,1478.97449,-638.17255,44.49902,1278.45386,-1413.45520,6.58445,1284.05359,-426.47980,147.29338,-1.57442,201.72479,-150.13635,57.67692,-1899.82959,251.45712,36.11217,-1103.49634,-142.80241,5.02787
31,0.250,480.62454,-174.39143,1483.46582,-637.72736,43.28166,1279.28772,-1413.90137,6.69487,1287.90027,-440.03741,146.63390,-1.54555,215.87799,-149.18913,55.73628,-1885.36182,243.70657,33.56937,-1117.20093,-143.38437,5.38998
32,0.258,476.48001,-173.71307,1487.84521,-637.30902,42.01918,1280.14978,-1414.27515,7.17623,1291.84924,-453.57602,146.12817,-1.44586,228.09021,-147.90410,53.07980,-1869.19019,237.28235,33.15154,-1131.00793,-144.20760,5.85333
33,0.267,472.30499,-172.93823,1492.09631,-636.94055,40.68732,1281.05713,-1414.59180,7.93389,1295.86499,-467.13162,145.68715,-1.34503,238.47424,-146.42743,50.17983,-1851.80762,232.25705,34.27156,-1144.87146,-145.12056,6.30565
34,0.275,468.12201,-172.06468,1496.21375,-636.63092,39.26855,1282.02185,-1414.86609,8.87896,1299.91394,-480.72366,145.24419,-1.29062,246.90820,-144.84535,47.21973,-1833.05420,228.07843,35.66031,-1158.70020,-145.87985,6.50549
35,0.283,463.96265,-171.10287,1500.18738,-636.37775,37.75163,1283.04504,-1415.11243,9.93020,1303.96558,-494.35339,144.85564,-1.23738,253.16937,-143.14603,44.06969,-1812.40344,224.37183,36.49947,-1172.26343,-146.08638,6.28143
36,0.292,459.87686,-170.09451,1504.00574,-636.17499,36.12724,1284.11597,-1415.34436,11.01163,1307.99243,-508.02811,144.60190,-1.13995,257.08783,-141.23410,40.46665,-1789.46362,221.06255,36.75156,-1185.42017,-145.58931,5.60468
37,0.300,455.90393,-169.09529,1507.65942,-636.01971,34.39220,1285.21814,-1415.57568,12.04917,1311.96765,-521.79114,144.42795,-1.03860,258.56281,-139.00601,36.25283,-1764.23059,218.01254,36.84151,-1198.34302,-144.96062,4.73315
38,0.308,452.05606,-168.14343,1511.12842,-635.90961,32.55080,1286.33691,-1415.81958,12.96876,1315.86121,-535.65479,144.13190,-1.01281,257.46582,-136.44165,31.52841,-1736.95459,215.00366,37.20182,-1211.33081,-144.95341,4.07859
39,0.317,448.33426,-167.24724,1514.37769,-635.83496,30.60858,1287.45947,-1416.08691,13.69766,1319.63342,-549.55438,143.59932,-1.08697,253.63104,-133.55505,26.57368,-1707.99829,211.91870,37.93991,-1224.61780,-145.60622,3.84025
40,0.325,444.74362,-166.39810,1517.36731,-635.77808,28.57227,1288.57397,-1416.38513,14.17030,1323.22632,-563.41425,142.96170,-1.18172,247.06628,-130.29208,21.66388,-1677.83826,208.65547,38.83686,-1238.45166,-146.52525,4.05059
41,0.333,441.29932,-165.59550,1520.06665,-635.71735,26.45655,1289.67236,-1416.71411,14.33959,1326.55652,-577.18744,142.44106,-1.15419,238.26221,-126.63952,17.10002,-1646.97998,205.06891,39.65147,-1252.90991,-147.57997,4.68692
42,0.342,438.03458,-164.84988,1522.46387,-635.63196,24.27549,1290.74927,-1417.06470,14.19213,1329.51465,-590.87964,142.13083,-0.94486,228.10144,-122.91985,13.34154,-1615.78772,201.10217,40.36726,-1267.57214,-148.66219,5.40914
43,0.350,435.00040,-164.17162,1524.56604,-635.51208,22.03333,1291.79614,-1417.41895,13.76187,1331.98364,-604.57489,141.93390,-0.66744,217.17975,-119.86353,10.79270,-1584.38403,196.82602,41.18221,-1281.84607,-149.41081,5.68734
44,0.358,432.25729,-163.57256,1526.38477,-635.36615,19.74480,1292.79956,-1417.75793,13.13138,1333.88306,-618.35303,141.66219,-0.49700,205.42694,-118.14003,9.43018,-1552.64429,192.44635,42.38509,-1295.58472,-149.68524,5.43317
45,0.367,429.87338,-163.06630,1527.92310,-635.21722,17.45340,1293.74878,-1418.07397,12.41270,1335.21423,-632.20294,141.20506,-0.51326,192.61713,-117.78382,8.84976,-1520.34045,188.31104,44.21144,-1309.09424,-149.81046,5.04916
46,0.375,427.91974,-162.66623,1529.17139,-635.09357,15.21159,1294.64844,-1418.38232,11.71272,1336.05530,-646.03564,140.64850,-0.63995,178.92645,-118.24255,8.63502,-1487.42236,184.66348,46.61168,-1322.67896,-150.09315,4.82094
47,0.383,426.45322,-162.38991,1530.10645,-635.02496,13.05470,1295.51697,-1418.72571,11.09692,1336.51331,-659.72113,140.22943,-0.70084,164.84100,-118.91792,8.55702,-1454.13989,181.39365,49.15751,-1336.37415,-150.44620,4.67235
48,0.392,425.50211,-162.26292,1530.70081,-635.04700,11.00467,1296.37244,-1419.17261,10.55933,1336.68042,-673.14716,140.08264,-0.56836,150.77374,-119.52283,8.50826,-1420.83655,178.18326,51.32135,-1350.09229,-150.67136,4.49464
49,0.400,425.06204,-162.31642,1530.94617,-635.20557,9.08231,1297.23022,-1419.80310,10.01013,1336.61023,-686.26556,140.05931,-0.20842,136.88397,-120.04519,8.39423,-1387.70557,174.85083,52.84885,-1363.88110,-150.85539,4.37560
50,0.408,425.09811,-162.56876,1530.87170,-635.55310,7.30818,1298.10400,-1420.68262,9.32034,1336.30981,-699.03271,139.90306,0.41307,123.15558,-120.57220,8.14996,-1354.75183,171.54539,53.89428,-1377.85718,-151.34174,4.46350
