"Frame#","Time","HeadX","HeadY","HeadZ","WithersX","WithersY","WithersZ","SacrumX","SacrumY","SacrumZ","HFLX","HFLY","HFLZ","HFRX","HFRY","HFRZ","HHLX","HHLY","HHLZ","HHRX","HHRY","HHRZ"
25,0.200,852.25104,198.50145,1366.55603,-283.36557,31.89104,1296.45081,-1065.67017,59.10448,1333.45264,417.87524,211.89037,0.43776,-349.37717,-98.78934,6.86561,-1115.96716,302.17950,0.25336,-881.14648,-87.59396,50.18599
26,0.208,851.46295,200.25911,1366.57544,-284.41132,32.91895,1296.44824,-1067.96277,57.41006,1331.55017,404.17273,211.76599,0.52787,-361.30063,-99.30698,7.78680,-1129.52002,302.16260,0.32177,-849.90961,-87.52139,50.49090
27,0.217,850.89014,202.01448,1366.26428,-285.74768,33.73220,1296.31653,-1070.41541,55.77267,1329.45544,390.54135,211.71777,0.69073,-372.52026,-99.87901,9.24333,-1143.06934,302.12909,0.40587,-819.18872,-87.90083,50.47922
28,0.225,850.53699,203.78131,1365.62891,-287.36743,34.32781,1296.03064,-1072.73682,54.73509,1327.16418,376.93594,211.63802,0.73760,-382.83560,-100.64330,11.29861,-1156.71692,302.02100,0.49607,-789.08215,-88.94548,50.35491
29,0.233,850.40680,205.58565,1364.66870,-289.24710,34.74712,1295.58350,-1074.83447,54.52431,1324.66772,363.29785,211.47565,0.60410,-391.95142,-101.62245,13.84069,-1170.44055,301.89212,0.59476,-759.61780,-90.62798,50.16938
30,0.242,850.49176,207.44182,1363.38696,-291.35306,35.05475,1294.98181,-1076.79492,54.98946,1321.96741,349.63544,211.25140,0.37450,-399.42133,-102.55563,16.56395,-1184.14697,301.74393,0.69045,-730.80469,-92.76949,49.80329
31,0.250,850.77081,209.32294,1361.79529,-293.64175,35.29831,1294.23596,-1078.76770,55.78236,1319.06970,336.02643,210.99609,0.16325,-404.57388,-103.02951,19.20023,-1197.78320,301.49316,0.76200,-702.67969,-95.24039,49.20018
32,0.258,851.21851,211.16063,1359.90930,-296.05814,35.49141,1293.35657,-1080.88354,56.55965,1315.97546,322.52350,210.72797,0.01762,-406.48907,-102.70303,21.75715,-1211.33325,301.11069,0.79830,-675.36304,-97.99971,48.42461
33,0.267,851.82025,212.92004,1357.74939,-298.54437,35.63720,1292.35693,-1083.20862,57.09836,1312.68091,309.10361,210.46700,-0.07359,-404.19525,-101.52514,24.46341,-1224.80286,300.66821,0.79569,-649.08362,-101.00281,47.48172
34,0.275,852.57239,214.64400,1355.34192,-301.04996,35.74440,1291.25293,-1085.71985,57.31310,1309.18823,295.68420,210.20152,-0.16035,-397.06546,-99.85334,27.41360,-1238.24634,300.25150,0.77134,-624.09631,-104.14184,46.19134
35,0.283,853.47021,216.39252,1352.70850,-303.53046,35.81344,1290.06177,-1088.32043,57.19888,1305.51074,282.18140,209.88033,-0.29016,-385.08704,-98.27599,30.36301,-1251.74951,299.88339,0.75451,-600.65259,-107.38237,44.35840
36,0.292,854.50452,218.18639,1349.86523,-305.94476,35.82850,1288.80457,-1090.88000,56.77280,1301.67554,268.60468,209.49063,-0.40995,-368.72165,-97.34692,32.98003,-1265.35242,299.51810,0.75505,-579.12292,-110.98845,42.09585
37,0.300,855.66589,220.01196,1346.83813,-308.26108,35.76581,1287.50366,-1093.27136,56.04910,1297.71985,255.07401,209.09839,-0.38785,-348.59903,-97.44398,35.14061,-1279.00818,299.11212,0.76148,-559.99957,-115.35773,39.80188
38,0.308,856.94281,221.83804,1343.67004,-310.46124,35.59990,1286.17773,-1095.40271,55.03983,1293.67444,241.66495,208.79097,-0.18647,-325.48297,-98.57066,36.89667,-1292.65100,298.70230,0.75654,-543.64398,-120.52936,37.78954
39,0.317,858.31903,223.62891,1340.40967,-312.54123,35.31131,1284.84082,-1097.24329,53.76226,1289.54724,228.29645,208.60295,0.07034,-300.35077,-100.23991,38.32951,-1306.29028,298.36807,0.73559,-530.13843,-126.05173,36.11102
40,0.325,859.77930,225.36395,1337.10144,-314.51312,34.89672,1283.51147,-1098.81421,52.24362,1285.32336,214.83957,208.49753,0.23037,-274.20639,-101.75419,39.48907,-1319.97412,298.13245,0.71259,-519.51758,-131.32904,34.63248
41,0.333,861.31262,227.04944,1333.78711,-316.39908,34.36676,1282.22363,-1100.15649,50.55552,1280.98291,201.25284,208.39470,0.25229,-247.75813,-102.59677,40.37909,-1333.69470,297.92365,0.68700,-512.03522,-135.92361,33.05501
