"Frame#","Time","HeadX","HeadY","HeadZ","WithersX","WithersY","WithersZ","SacrumX","SacrumY","SacrumZ","HFLX","HFLY","HFLZ","HFRX","HFRY","HFRZ","HHLX","HHLY","HHLZ","HHRX","HHRY","HHRZ"
1,0.000,893.53473,-52.24339,1400.37036,-297.89490,-38.56620,1294.52002,-1041.51587,-8.26267,1303.85474,-331.50418,78.55819,8.02187,481.15399,-128.54208,-7.63745,-984.85913,91.90768,50.39833,-979.70447,-179.45041,4.07650
2,0.017,893.07300,-54.53085,1400.24963,-299.63058,-39.35440,1297.21106,-1043.27942,-10.77089,1304.01624,-349.24478,80.51788,13.65759,455.91391,-128.91969,-7.83407,-918.07825,91.51054,53.26277,-1005.03882,-179.83168,4.22841
3,0.033,893.12390,-56.56213,1399.64539,-302.00006,-39.79834,1299.41492,-1045.79968,-12.92127,1303.43445,-360.04761,84.04385,20.69391,430.81799,-129.71696,-7.87132,-854.46997,91.83862,54.51591,-1030.54639,-180.33382,4.31341
4,0.050,893.84863,-58.21921,1398.35925,-305.12332,-39.81451,1300.86060,-1049.40063,-14.58028,1301.78040,-360.39954,89.47669,29.34127,405.70612,-130.33673,-7.90517,-794.68915,93.87605,53.38943,-1055.80676,-180.84161,4.37281
5,0.067,895.07373,-59.58318,1396.49158,-308.70447,-39.55270,1301.48413,-1053.81702,-15.88730,1299.12036,-348.88144,96.25951,41.03433,380.65088,-130.53128,-7.97029,-737.79175,98.42974,49.90778,-1080.59338,-181.31053,4.29237
6,0.083,896.59094,-60.68845,1394.21204,-312.41428,-39.11688,1301.32410,-1058.40845,-16.92802,1295.61938,-324.43100,104.81435,55.09052,355.73233,-130.75761,-8.21149,-683.38342,106.05484,44.73326,-1105.31104,-181.72891,4.16302
7,0.100,898.36475,-61.34058,1391.54883,-316.07886,-38.44142,1300.47815,-1062.59985,-17.50439,1291.35681,-288.88803,114.98767,65.68313,330.71381,-131.22131,-8.51742,-632.62970,116.83163,38.53257,-1130.27612,-182.10762,4.33208
8,0.117,900.54926,-61.62593,1388.35144,-319.66782,-37.50611,1299.12317,-1066.18152,-17.45418,1286.32886,-246.32397,124.20895,69.25705,305.53357,-131.61412,-8.48978,-588.24213,129.62910,31.49610,-1155.46667,-182.58282,4.52481
9,0.133,903.31702,-62.15301,1384.48022,-323.23944,-36.54599,1297.52063,-1069.26624,-16.88667,1280.48303,-199.56763,129.98734,68.72020,280.35895,-131.82634,-8.32533,-553.87335,142.58586,23.93538,-1180.81360,-183.25275,4.44814
10,0.150,906.53552,-63.02527,1380.06128,-326.88669,-35.92491,1295.92334,-1072.05310,-15.90392,1273.75171,-151.00148,132.43890,68.02263,255.13812,-132.25545,-8.24235,-533.34070,153.80630,15.93197,-1206.33301,-183.85516,4.46804
11,0.167,909.80322,-63.43678,1375.41479,-330.62225,-35.81823,1294.45435,-1074.61438,-14.47347,1266.22205,-102.74841,133.18173,68.91025,229.72250,-132.75813,-8.02744,-527.75525,160.73367,6.83519,-1232.02515,-184.02110,4.70060
12,0.183,912.88983,-62.87388,1370.79968,-334.26181,-36.11861,1293.09265,-1076.87000,-12.56594,1258.34570,-54.37289,132.53717,70.88676,204.14798,-133.00163,-7.73540,-534.16101,162.13666,-1.97124,-1257.66455,-184.16768,4.90694
13,0.200,915.78394,-61.68631,1366.44446,-337.50894,-36.60667,1291.73621,-1078.69849,-10.15509,1250.96021,-4.04572,130.15376,72.20711,178.54181,-133.34448,-7.60635,-550.24536,160.86734,-6.89277,-1283.08472,-184.81715,4.96559
